species,allres,landres,biores,env,geog,max_dist,pca_var
american_pika,-340.6930243,-334.7176229,-345.8145484,-86.75707133,-289.2289895,6.145643742,0.947004439
bank_vole,-13506.83892,-14485.65686,-13867.74448,-12911.2805,-14368.01448,39.00169868,0.679299076
beaver,-32.92803615,-32.9600126,-32.94739889,-34.74996333,-33.03248925,91.21211345,0.849655158
black_bear,-374.3735355,-310.5211487,-327.8337887,-265.6510367,-300.2649663,81.69045978,0.684067613
bobcat,-41.38480345,-40.94738502,-41.04197787,-36.72706779,-41.26946917,1.544503309,0.808368468
chamois,-75.3141837,-74.50823288,-75.04906819,-73.63721851,-90.72013585,8.757198391,0.787537961
coyote,-2067.638051,-2086.593707,-1855.773665,-2023.920561,-2158.564237,54.94464051,0.703352022
cryptic_field_vole,-47.59483111,-52.31770469,-45.71281396,-58.91513296,-57.66251961,28.60095954,0.776392145
dalls_sheep,-346.2750708,-339.4924418,-340.2280653,-303.6075964,-335.1795094,38.47959151,0.752992245
european_wildcat,-165.9577521,-209.8391633,-145.4446088,-147.1210744,-189.1671805,34.41306605,0.773975044
european_wolf,-217.2500188,-225.3606772,-223.1965909,-201.4510656,-219.4152707,27.51010013,0.789680554
greater_glider,-164.611731,-167.0902382,-162.2716435,-121.6948977,-173.2928455,1.527403218,0.846270033
grey_long_eared_bat,-302.6525911,-310.5974059,-303.6023009,-216.634516,-259.3199283,13.75690321,0.750830123
grey_wolf,-44.59950415,-44.76715122,-44.57360575,-45.1023714,-46.42702298,77.36802366,0.905983106
ground_squirrel,-33.27862446,-32.7700361,-32.67807375,-25.69102518,-36.80054037,0.650910914,0.792011015
koala,-1701.448756,-1605.053596,-1652.096526,-1269.914779,-1594.397698,19.10480587,0.740507878
lynx,-80.17679145,-80.45640652,-80.36449088,-87.79315959,-87.23789436,32.29726346,0.868829564
marsh_rat_sciureus,-29.55020612,-29.74969742,-27.97462099,-37.85403799,-29.20303685,23.70952973,0.856101011
myotis_bats,-58.90216962,-59.05297838,-58.35758177,-60.38371759,-57.78614741,34.18277565,0.98600538
northern_quoll,-430.7971887,-417.1242805,-434.6476258,-298.149484,-522.3192212,29.70486586,0.706364402
pilbara_ningaui,-1510.491239,-1543.082417,-1515.345944,-1307.03116,-1538.682078,5.089373631,0.6946199
platypus,-10.60929642,-12.17341579,-9.198346905,-4.004434457,-6.511124702,24.60540505,0.962372424
polar_bear,-342.369809,-339.7139594,-348.0624143,-335.5082502,-349.4324523,66.06053885,0.795735065
prairie_dogs,-23.11033578,-16.04602737,-20.63033454,-10.84362591,-29.41043283,1.046333207,0.914549002
puma,-25.37862127,-27.59755239,-24.9351313,-18.4453811,-21.81971927,8.521018279,0.983997962
pygmy_rabbits,-648.7159218,-635.4709667,-645.9615835,-532.6911725,-570.849201,4.944525513,0.718242315
red_fox,-3898.298238,-3992.678104,-3934.456267,-3848.271321,-4008.015846,82.82452546,0.688457788
sandy_inland_mouse,-3413.670562,-3417.236672,-3399.98391,-3384.834322,-3421.984491,6.423142964,0.687370005
snow_sheep,-81.86328551,-82.90682388,-80.65607606,-50.52885727,-75.98258092,16.86302069,0.800076388
tasmanian_devil,-164.1411573,-168.7973951,-165.1956589,-150.222585,-167.209746,3.117589737,0.781115513
tiger_asia,-17.6618538,-17.65665723,-17.65102737,-17.96451501,-17.66298702,59.87218586,0.961482643
tiger_india,-15.60749818,-16.22360607,-14.44386716,-23.03681373,-14.73842652,22.34500701,0.910748588
water_vole,-28.71628149,-18.61220621,-23.40258719,-12.27325848,-21.08412153,13.05914345,0.762292856
western_pebble_mouse,-253.4114157,-253.3923079,-254.3131754,-246.1826293,-252.6222187,5.292834148,0.737685676
white_footed_mouse,-818.7249919,-825.8355914,-818.1662391,-809.1836914,-810.8989848,1.902250058,0.739759189
wild_boar_europe,-424.6386216,-423.4620207,-421.771065,-421.6260691,-535.3501514,42.81679019,0.681060017
wild_boar_italy,-31.5832757,-31.57177149,-31.53840309,-31.39794847,-31.75363106,10.05179893,0.780958964
wolverine,-29.59558119,-29.86369024,-29.43310109,-30.82720865,-30.29263695,15.83700954,0.970944373
wombat,-62.6027971,-63.01475801,-61.49491372,-50.71982132,-56.12537847,8.235672503,0.716079576
