"SPECIES","geog_dist","env_dist","biores_dist","landres_dist","allres_dist"
"american_pika",-285.578030589551,-87.1278554834781,-345.290396176339,-321.943613795179,-343.418120379403
"bank_vole",-13615.527801115,-12348.7614596913,-12476.7459318423,-13804.4788378504,-12292.6971549006
"beaver",-30.5889504579725,-32.2897619483223,-30.4331791521182,-30.4123436408706,-30.4084703541654
"black_bear",-300.940860862372,-259.687069504895,-357.679734117729,-315.470644173979,-377.0453997385
"bobcat",-33.6440387232961,-28.5988199234369,-32.649061551134,-31.5965464301001,-33.1522853682169
"chamois",-89.9482322546991,-69.6255732371757,-74.9847132605837,-72.8429007947255,-78.6970347948383
"coyote",-2146.40704040606,-2024.35107412342,-1854.61955491476,-2173.72313050674,-1854.66782534487
"cryptic_field_vole",-60.51296817834,-57.35457396575,-45.8466529807513,-49.108296793811,-44.3121467918621
"dalls_sheep",-278.867300933146,-260.120668264145,-266.748977522601,-265.871524753093,-269.512915220704
"european_wildcat",-208.438315451242,-146.255875301278,-126.598172791156,-204.772927082884,-125.40004440259
"european_wolf",-227.116675833621,-199.972852417985,-193.487092549932,-226.894109290524,-203.106357089415
"greater_glider",-174.098456886495,-121.333905255296,-161.971986820794,-166.075810449932,-161.376065175773
"grey_long_eared_bat",-270.27400897142,-215.903118707273,-297.457862449304,-301.65938690362,-295.304469813847
"grey_wolf",-43.543014148254,-41.1835031261592,-41.2221857858891,-40.5829463726976,-41.3727438081654
"koala",-1583.5864567326,-1267.91960017556,-1698.37071797017,-1638.92570905518,-1734.23597235423
"lynx",-95.653636589211,-86.011545506211,-78.6354189382748,-83.8886725752147,-78.4414046149293
"marsh_rat_sciureus",-21.2201021339815,-30.5154831024078,-20.5891666540126,-22.4677125535879,-23.3777975724556
"myotis_bats",-35.2671121030246,-30.6020344331659,-29.9359460979752,-30.2678164758898,-29.6939166051783
"northern_quoll",-525.533265856789,-299.850712079568,-463.802932720779,-480.819347900785,-442.572615970815
"pilbara_ningaui",-1544.39723074257,-1306.91760870339,-1494.7772435141,-1533.1897040312,-1507.04289243278
"platypus",33.2712621760899,35.9675257055332,24.279524258505,23.0723580677322,21.6215495056781
"polar_bear",-385.827423802799,-335.730147260304,-346.172186490153,-340.518753786114,-341.020899785506
"prairie_dogs",-23.8932617916764,-8.0596028093243,-23.379141341666,-12.1166900336588,-23.563752509904
"puma",18.8974473711027,21.5646962717522,17.9283693772522,15.3011539198645,17.1756621318872
"pygmy_rabbits",-583.49081775531,-533.027195813723,-640.32789423458,-622.463850956622,-632.932068044725
"red_fox",-4027.73222050906,-3849.51698473854,-3954.33964370512,-4002.08966675543,-3909.64838734522
"sandy_inland_mouse",-3422.58433467007,-3384.77173354935,-3433.31593225619,-3434.19106801048,-3432.89337873239
"snow_sheep",-65.5236514718608,-46.3019506660938,-71.2085422696862,-83.3748340575676,-77.0696213661882
"tasmanian_devil",-158.032030838676,-150.216055334672,-159.276022039049,-158.854172593522,-162.035926832164
"tiger_asia",22.3351801148126,22.0375957299423,22.3407136979811,22.3356371846519,22.3491612639905
"tiger_india",25.6291230656639,19.0521861143062,25.6072004398407,25.1378346147301,25.6193255723344
"water_vole",-15.9567391300291,-3.26249988014075,-14.8256591364252,-11.3251267914661,-15.537542448653
"western_pebble_mouse",-251.552676114966,-244.571164606091,-253.002120026285,-251.739204818421,-252.872465477773
"white_footed_mouse",-811.41040365248,-809.05665957835,-819.150818241437,-820.346905302537,-817.036156049921
"wild_boar_europe",-525.052548275504,-421.35273777494,-421.56869859288,-422.563931543767,-425.105142052312
"wild_boar_italy",-21.5840394341478,-21.3926490401109,-21.4615614004062,-21.4423987309778,-21.4272191469323
"wolverine",9.68000751443032,7.48594396229667,10.5574861133569,9.34959133070778,10.5405225455644
"wombat",-53.95709573289,-48.2961013269505,-60.1126556497578,-60.8674243792874,-60.4930782451605
