"","sit1","sit2","sit3","sit4","sit5","sit6","sit7","sit8","sit9","sit10","sit11","sit12","sit13","sit14"
"sit1",0,1.26378395341946,1.2062579023389,2.52996671788718,2.24083628611398,2.46345002317253,2.74293657758506,2.74998122088797,2.75714107931688,2.0940168815584,2.87424637394547,3.43738946009359,2.58785963566098,2.60459165671678
"sit2",1.26378395341946,0,2.43857154301011,3.74706751052458,3.44037400869469,3.69272436466785,3.62513525348453,3.6268163458058,3.62859788014456,2.44868416400053,3.31002586284557,4.06874288012335,2.80194104406283,2.81269432614433
"sit3",1.2062579023389,2.43857154301011,0,1.32392418943912,1.04288045216696,1.25839449589537,1.90821488579457,1.9214145086712,1.93471391873169,2.05904039141417,2.5626970729916,2.82736703127365,2.56830758574315,2.58745784053052
"sit4",2.52996671788718,3.74706751052458,1.32392418943912,0,0.329326231627978,0.13178589561275,1.61823538662776,1.6373637712504,1.65649299476638,2.70039342583126,2.80732118190744,2.63947419371099,3.10829175805092,3.12600968709458
"sit5",2.24083628611398,3.44037400869469,1.04288045216696,0.329326231627978,0,0.344224764845976,1.44270428108919,1.46130618237439,1.47992244528418,2.39424276619791,2.55648039317788,2.4733219946416,2.81794076094679,2.83601741989551
"sit6",2.46345002317253,3.69272436466785,1.25839449589537,0.13178589561275,0.344224764845976,0,1.71823837920084,1.73728133319749,1.75632693512112,2.73845067728364,2.88180404822048,2.74413528003135,3.15969597266501,3.17768256759011
"sit7",2.74293657758506,3.62513525348453,1.90821488579457,1.61823538662776,1.44270428108919,1.71823837920084,0,0.0191646737220021,0.0383293474440042,1.59143945090361,1.30590314807781,1.03064597563809,1.7999798856666,1.81341650794738
"sit8",2.74998122088797,3.6268163458058,1.9214145086712,1.6373637712504,1.46130618237439,1.73728133319749,0.0191646737220021,0,0.0191646737220021,1.58250111027381,1.28919863157148,1.0120171496576,1.7866477872682,1.7999798856666
"sit9",2.75714107931688,3.62859788014456,1.93471391873169,1.65649299476638,1.47992244528418,1.75632693512112,0.0383293474440042,0.0191646737220021,0,1.57374539604761,1.27256346033106,0.993408709817321,1.77342257009831,1.7866477872682
"sit10",2.0940168815584,2.44868416400053,2.05904039141417,2.70039342583126,2.39424276619791,2.73845067728364,1.59143945090361,1.58250111027381,1.57374539604761,0,0.861524724870425,1.66288441251157,0.520364494055008,0.539067716127989
"sit11",2.87424637394547,3.31002586284557,2.5626970729916,2.80732118190744,2.55648039317788,2.88180404822048,1.30590314807781,1.28919863157148,1.27256346033106,0.861524724870425,0,0.886647299218507,0.662583556648625,0.666221890063835
"sit12",3.43738946009359,4.06874288012335,2.82736703127365,2.63947419371099,2.4733219946416,2.74413528003135,1.03064597563809,1.0120171496576,0.993408709817321,1.66288441251157,0.886647299218507,0,1.54915266737133,1.55241944354567
"sit13",2.58785963566098,2.80194104406283,2.56830758574315,3.10829175805092,2.81794076094679,3.15969597266501,1.7999798856666,1.7866477872682,1.77342257009831,0.520364494055008,0.662583556648625,1.54915266737133,0,0.0191646737220017
"sit14",2.60459165671678,2.81269432614433,2.58745784053052,3.12600968709458,2.83601741989551,3.17768256759011,1.81341650794738,1.7999798856666,1.7866477872682,0.539067716127989,0.666221890063835,1.55241944354567,0.0191646737220017,0
