,Apulia,Arla,Arnum,Bacau,Bakkeveen,Ballangen,Belle-Ile-en-Mer,Bialowieza,Bolzano,Buckarby,Bursa,Bussiéres,Calabria,Callantsoog,České Budejovice,Chernobyl,Cirencester,Cuxhaven,Dieren,Diptford,Dontreix,Eksingedal,Feleacu,Frýdek-Místek,Hage,Hakel forest,Harestua,Havelberg,Heidenheim,Heslington,Jezersko,Jutland,Kamnica,Kobylnica,Kolari,Kopaonik Mts.,Korgen,Korpilahti,Kramfors,Krásnohorské Podhradie,Krupina,Kuusamo,Kvandalfors,Le Quartier,Lieksa,Lillesand,Linda,Lizard Peninsula,Lolland,Mala Kapela,Malselvfossen,Maud,Mikkeli,Morges,Mšec,Neuborn,Noordwijk,Nordnes,North Hill,Nova Kapela,Ócsa,Osogovo Mts.,Ostashkov,Pallasjärvi,Pickering,Pihen-lé-Guines,Pisavaara,Plešivica Mts.,Polichno,Pravenec,Pyhätunturi,Pyrenees,Rana,Ratzerburg,Ribeaville,Ringebu,Risør,Rosello,Roslin,Skelleftea,Skjomdalen,Skjomdalen 2,Skog,Snåsa,Solnik,St Jean-le-Thomas,Stensoffa,Strmosten,Suonenjoki,Surnadal,Tohmajärvi,Torsby,Umea,Urwitalt,Vammala,Varde,Vimoutiers,Virolahti,Vysoké Tatry,Wicken
Apulia,0,0.540664506,0.524372289,0.396015966,0.461768517,0.75425612,0.700911431,0.386061146,0.594641951,0.595628292,0.525681644,0.541156391,0.402721171,0.615877916,0.433868593,0.405425218,0.509813032,0.496760979,0.462978819,0.552532527,0.511253014,0.757525033,0.644009384,0.389134448,0.441093715,0.417764037,0.628941,0.691122906,0.379980282,0.471680627,0.396642153,0.478509143,0.381371902,0.476097639,0.639311824,0.360508724,0.549948133,0.502049903,0.553892166,0.535437382,0.365568177,0.52447002,0.599599971,0.435141115,0.485745008,0.677385672,0.688081876,0.570768259,0.534717603,0.645408275,0.808945131,0.672069589,0.506621938,0.683166229,0.43281077,0.609790942,0.560372237,0.613976436,0.525632844,0.372504221,0.449429801,0.389317433,0.479460887,0.6239274,0.515050738,0.697827669,0.626966823,0.618437374,0.436216109,0.38395982,0.648002365,0.687653738,0.580490317,0.474137302,0.703350441,0.641393245,0.718766857,0.412684929,0.535123446,0.641818291,0.73515871,0.704705155,0.583644684,0.659746001,0.383136865,0.464543527,0.501113869,0.348378079,0.489015154,0.730748163,0.489365399,0.569089492,0.578775514,0.447658552,0.520699601,0.472634423,0.444529981,0.491059006,0.371684522,0.507916036
Arla,0.540664506,0,0.224070595,0.264806812,0.261145025,0.443350808,0.358607081,0.253639699,0.400483047,0.07232025,0.484655968,0.415252811,0.554934556,0.360194849,0.261931044,0.28864875,0.319546057,0.283208615,0.275256932,0.359788707,0.400108916,0.302706394,0.338320147,0.239287207,0.255777489,0.231447714,0.090387005,0.291938523,0.223558146,0.294634419,0.248975692,0.226952408,0.279673713,0.26044243,0.395375212,0.300182639,0.311174582,0.374594146,0.175217788,0.346820061,0.223395509,0.37221867,0.410304129,0.390791497,0.358525213,0.196032037,0.316309478,0.372132501,0.250051092,0.354020718,0.53642452,0.453377764,0.378692364,0.31178433,0.255625027,0.291874364,0.342433391,0.388890348,0.328794003,0.287925115,0.33266079,0.335206345,0.325666555,0.394433665,0.323030089,0.284677071,0.399206626,0.349823764,0.248331905,0.231929612,0.378704221,0.59733923,0.357467505,0.219610853,0.305767472,0.136420786,0.192905023,0.459119313,0.340116899,0.398405968,0.492807747,0.496828215,0.095172262,0.211905013,0.306427447,0.378695523,0.095095674,0.279474265,0.36299737,0.186962043,0.360024139,0.052690789,0.282741589,0.289131909,0.384902839,0.200788094,0.338705686,0.363772645,0.231969512,0.322270686
Arnum,0.524372289,0.224070595,0,0.206389572,0.173202984,0.441439178,0.319113322,0.19763334,0.357868454,0.287016684,0.469876888,0.37377096,0.547819452,0.283696427,0.189629673,0.221467258,0.261836278,0.189792255,0.192693095,0.304858516,0.361693094,0.462253782,0.282217807,0.179163257,0.180803625,0.157129983,0.265736145,0.221185547,0.157689942,0.234975755,0.199295038,0.125270014,0.226669024,0.195600011,0.347920673,0.25264276,0.327116854,0.333841998,0.296199924,0.302964307,0.160692519,0.31556868,0.414614782,0.357487408,0.318470091,0.382158466,0.248191382,0.325804052,0.156132951,0.300975495,0.536718983,0.421228983,0.336953811,0.26605252,0.189242989,0.177009488,0.269485525,0.387863493,0.267022026,0.244483496,0.288981262,0.289929738,0.26864443,0.341956738,0.262560498,0.23421691,0.34874786,0.294309776,0.170746244,0.171728995,0.326666209,0.6056552,0.371877466,0.123993889,0.246558685,0.330784204,0.373486294,0.420581271,0.286978165,0.372084072,0.505663038,0.507861082,0.290696442,0.359651966,0.246517867,0.339863014,0.146795554,0.233464753,0.320642743,0.346413351,0.317288362,0.253984574,0.325558332,0.239679717,0.345355599,0.062294575,0.289651597,0.320181504,0.169864627,0.261263763
Bacau,0.396015966,0.264806812,0.206389572,0,0.145403904,0.330460903,0.226683885,0.084590324,0.227713759,0.312468314,0.351344779,0.266889713,0.449552005,0.238415433,0.109518193,0.100288757,0.240856873,0.213438931,0.170397518,0.284811533,0.239854126,0.444323484,0.139613681,0.088413656,0.171839289,0.134971147,0.278871351,0.160544166,0.099810744,0.2300588,0.089328238,0.209569783,0.11321674,0.110028994,0.226289351,0.109880211,0.252179363,0.223389859,0.272654992,0.174135355,0.054505821,0.187668743,0.331142188,0.260385588,0.208308801,0.388284718,0.165852386,0.30285151,0.215031582,0.174713397,0.42324845,0.387364363,0.224801012,0.183959967,0.125371055,0.212146041,0.241436742,0.292059213,0.241442054,0.123588005,0.175515697,0.150645346,0.15003253,0.217652517,0.244349774,0.167362323,0.218922807,0.161086098,0.078001227,0.075312302,0.204790703,0.509096321,0.290185038,0.155781438,0.171257675,0.341383962,0.366090974,0.294507847,0.266502796,0.253174848,0.40669344,0.422797659,0.305388084,0.335579307,0.12124017,0.246404981,0.222026883,0.105111801,0.209040225,0.327218995,0.203801661,0.291113733,0.265286146,0.13784845,0.238055012,0.148095823,0.207945961,0.208188186,0.05697642,0.24035378
Bakkeveen,0.461768517,0.261145025,0.173202984,0.145403904,0,0.395241155,0.233222633,0.14056918,0.261766122,0.316182014,0.426914757,0.270441164,0.506656532,0.161202927,0.108144769,0.161388645,0.16863368,0.17521716,0.083623154,0.220128156,0.251452571,0.486733897,0.195628277,0.118842594,0.120838962,0.09846086,0.281002956,0.155674841,0.059579014,0.149605648,0.140221482,0.192063908,0.14294011,0.136626174,0.267180792,0.176877316,0.306916761,0.291734605,0.296332158,0.255639382,0.102879819,0.241321559,0.396936942,0.268174826,0.275496892,0.410976278,0.171559611,0.24458355,0.198535924,0.205644482,0.472954423,0.358645617,0.294309749,0.186889456,0.127299515,0.164615708,0.164207951,0.360728831,0.176983691,0.17136615,0.217696042,0.217519099,0.210890705,0.260970372,0.169348399,0.136307191,0.262821814,0.193417639,0.118412165,0.117836453,0.247382358,0.57678747,0.349600597,0.121018466,0.146327849,0.354735739,0.392325647,0.32427753,0.20247683,0.322729113,0.486883945,0.498440579,0.313969712,0.365021691,0.16540934,0.255780674,0.202018163,0.1629071,0.275065984,0.34973173,0.275708655,0.288067922,0.30949482,0.200207324,0.305967105,0.12319101,0.188692848,0.277746715,0.108700556,0.165895307
Ballangen,0.75425612,0.443350808,0.441439178,0.330460903,0.395241155,0,0.584580593,0.263367571,0.545858807,0.497250105,0.590665984,0.563853329,0.675553646,0.533322172,0.369614048,0.273722078,0.452758001,0.427642328,0.398079392,0.500944577,0.539488991,0.672025196,0.498198465,0.305484848,0.379224371,0.353805771,0.518653792,0.516746122,0.322123064,0.418493101,0.306756251,0.415684987,0.35504931,0.368032917,0.397952892,0.361935274,0.263336068,0.306147944,0.387207158,0.454790023,0.282346126,0.301006865,0.302829224,0.491617764,0.280437636,0.583353772,0.508219072,0.514252429,0.458016373,0.528126946,0.746831112,0.62316032,0.307988263,0.531972073,0.350493375,0.501780429,0.489577867,0.31411651,0.464154361,0.363835024,0.417648132,0.413217442,0.316203661,0.385046609,0.459789422,0.504399155,0.384242463,0.502819438,0.32595065,0.303584268,0.39608437,0.746182197,0.30057125,0.383888824,0.516329118,0.542383505,0.618654115,0.608824224,0.480029477,0.32706792,0.299699507,0.121695461,0.480351684,0.524546865,0.391528524,0.481725036,0.410661153,0.34398753,0.285428801,0.608080684,0.285771924,0.473474987,0.342288993,0.339726821,0.32640586,0.385953832,0.452938518,0.297741342,0.288781329,0.452687853
Belle-Ile-en-Mer,0.700911431,0.358607081,0.319113322,0.226683885,0.233222633,0.584580593,0,0.225930531,0.270549397,0.419931,0.446687501,0.172613195,0.516591016,0.346527314,0.228219956,0.220268425,0.326242836,0.31918997,0.247701151,0.366726488,0.148920208,0.623560912,0.213486148,0.222938232,0.267336866,0.23965718,0.426570596,0.220458962,0.181704459,0.294691976,0.238498889,0.303360384,0.226850548,0.253197908,0.290582018,0.218193291,0.379793074,0.340190914,0.382743543,0.358798576,0.196238674,0.285257903,0.455107879,0.165865426,0.33256147,0.51777809,0.255131416,0.37947002,0.334329753,0.246229587,0.762555832,0.490918929,0.349496643,0.191022915,0.246822838,0.255289863,0.33727859,0.443424697,0.323405742,0.235767698,0.291885706,0.261276201,0.286383281,0.280133264,0.3188825,0.169265414,0.296114705,0.20943859,0.231564922,0.223337462,0.281184204,0.542753217,0.429254523,0.271195757,0.157605808,0.466644448,0.552046915,0.325811119,0.343475968,0.436158072,0.609843195,0.57723892,0.412147886,0.484077285,0.207575495,0.144308739,0.322577617,0.220266149,0.327723587,0.537587318,0.330427031,0.391767345,0.396180868,0.280742256,0.361434495,0.250514743,0.127971351,0.327198928,0.206181437,0.313068681
Bialowieza,0.386061146,0.253639699,0.19763334,0.084590324,0.14056918,0.263367571,0.225930531,0,0.231504602,0.295303101,0.35890257,0.259388606,0.43477307,0.230657822,0.107629821,0.027002528,0.234718473,0.197237296,0.170921077,0.276988213,0.237672099,0.413042368,0.144149098,0.07987061,0.16493614,0.127183708,0.260975115,0.150337841,0.105071647,0.223093279,0.082571273,0.202685123,0.129494447,0.079838732,0.164161367,0.142168435,0.202917158,0.143999866,0.244283838,0.164258737,0.056064883,0.11704513,0.269570253,0.264921712,0.127673519,0.36491209,0.149683616,0.286952049,0.197488635,0.175954282,0.409077745,0.363282873,0.145872387,0.179274499,0.11644358,0.19457316,0.234407654,0.229612266,0.232522075,0.145736484,0.180223838,0.179964994,0.057608051,0.155081778,0.23533468,0.158747194,0.153693227,0.170813124,0.042581752,0.078310983,0.144995382,0.487974084,0.240517181,0.144924704,0.160989195,0.319754357,0.341520255,0.289114417,0.258863612,0.186483032,0.336394163,0.352979574,0.291490026,0.309199437,0.136184852,0.253014826,0.208247421,0.129584981,0.130014125,0.307347396,0.128146888,0.274735009,0.2174127,0.06498768,0.155899834,0.135746869,0.214478661,0.126797722,0.051656887,0.23308486
Bolzano,0.594641951,0.400483047,0.357868454,0.227713759,0.261766122,0.545858807,0.270549397,0.231504602,0,0.459095622,0.432536854,0.277436057,0.517851223,0.377568191,0.234372996,0.233020082,0.366299384,0.353314223,0.289035395,0.416499601,0.265936008,0.637931648,0.175330608,0.237318706,0.303953176,0.271460336,0.451100457,0.240816129,0.200419205,0.338596022,0.244528878,0.34465494,0.187908959,0.269972643,0.304638612,0.177322135,0.399697147,0.366614031,0.415592311,0.368838908,0.208909831,0.302462634,0.475705204,0.297168042,0.350611615,0.550401569,0.220390321,0.428431342,0.360314557,0.175278934,0.633908189,0.545267192,0.369754358,0.197190813,0.266635105,0.282540666,0.383113147,0.45997856,0.372820637,0.190169427,0.262359498,0.215637041,0.298773945,0.289423798,0.368993785,0.193310576,0.285691517,0.150257503,0.237615448,0.225743472,0.287839683,0.623478786,0.44514487,0.299166455,0.204448972,0.498161556,0.565136987,0.256756336,0.390463095,0.442782234,0.607175118,0.590477735,0.44911031,0.507164866,0.17922411,0.311571913,0.359772325,0.17459803,0.349595888,0.538061359,0.348057477,0.429211186,0.416893925,0.303898759,0.382914714,0.27684706,0.267136561,0.352169552,0.208284752,0.361371725
Buckarby,0.595628292,0.07232025,0.287016684,0.312468314,0.316182014,0.497250105,0.419931,0.295303101,0.459095622,0,0.53019701,0.47627166,0.598133757,0.42038727,0.316695654,0.339416098,0.366189938,0.329295741,0.326129586,0.408026629,0.460636926,0.279170273,0.395520665,0.282200782,0.296983269,0.280074469,0.0772134,0.354235365,0.271366437,0.336585279,0.294933192,0.27465718,0.326915377,0.316305686,0.45225162,0.348205937,0.343253195,0.417681871,0.179096955,0.399124429,0.265907609,0.424994308,0.445335688,0.44350194,0.401507035,0.162189193,0.375029315,0.420877874,0.313836786,0.409613311,0.592363219,0.502070504,0.421629909,0.367944875,0.301442463,0.355319475,0.394155992,0.434571547,0.379447843,0.331571626,0.380784293,0.384393695,0.377983938,0.452133668,0.371487587,0.337471142,0.453596037,0.411834864,0.298342513,0.278703681,0.440833921,0.645139044,0.393157687,0.272213758,0.364131059,0.102433908,0.159320409,0.510695901,0.388498355,0.454559522,0.538604461,0.538800793,0.05994265,0.187902706,0.359112386,0.42913482,0.153561551,0.323263909,0.405655761,0.154991305,0.403307897,0.052854825,0.307773571,0.33533243,0.431194452,0.260626714,0.391979798,0.407373543,0.275707171,0.369888143
