"","AK","AZ","CO","FL","ID","ME","MI","MN","MO","MT","NC","NM","NY","OR","OZ","PA","WI","WV"
"AK",0,0.225855392257648,0.207990699094538,0.225836072825778,0.0929918978625599,0.140636220741108,0.12708046570943,0.0954047840336944,0.154571963783513,0.0930440781097263,0.168342492950223,0.190084053161195,0.132374127395047,0.132497398085311,0.117497033881246,0.122291548285453,0.121939905328697,0.16373273045599
"AZ",0.225855392257648,0,0.0716706199510588,0.493438947606281,0.152988977857249,0.381629799238556,0.368921083360224,0.384803309495034,0.423737776518002,0.167659752272792,0.387521125369617,0.0230346005565525,0.416129416347252,0.133615754478828,0.401994750759453,0.479390748773954,0.371078577955899,0.421647988754917
"CO",0.207990699094538,0.0716706199510588,0,0.452546510936131,0.117122335744235,0.357787719574726,0.346939157693236,0.354226289742177,0.388548724828577,0.116942696917554,0.368039114853204,0.0286229823133774,0.381174642323961,0.0953869450757426,0.367877438932173,0.419756437341666,0.348075349469677,0.392721230492555
"FL",0.225836072825778,0.493438947606281,0.452546510936131,0,0.327534458873155,0.153940951819757,0.135688532951544,0.182394126983988,0.242923315927406,0.361928006830572,0.103983050819177,0.451069332282359,0.17859900659757,0.383456288338913,0.209059380791213,0.215242980678642,0.153144842033322,0.154588331214257
"ID",0.0929918978625599,0.152988977857249,0.117122335744235,0.327534458873155,0,0.233019998852038,0.219775174479738,0.198674160522709,0.252228708088695,0.00410967681005096,0.25740537493597,0.109134244042162,0.232738211678726,0.0196877101013758,0.216820009511976,0.230974153065664,0.216249843597449,0.261980525377381
"ME",0.140636220741108,0.381629799238556,0.357787719574726,0.153940951819757,0.233019998852038,0,0.033816327643634,0.0479009461126677,0.115717308293806,0.247996826808885,0.055625897338307,0.340389644507087,0.0362201381272022,0.291257406532957,0.0753606887000461,0.0619300634374498,0.0434506441033483,0.0608756173490847
"MI",0.12708046570943,0.368921083360224,0.346939157693236,0.135688532951544,0.219775174479738,0.033816327643634,0,0.024503121172606,0.0958801322261729,0.232290035908951,0.036980278478399,0.326764247880219,0.0353763994705629,0.278864692834858,0.0530322315828984,0.0423728991455435,0.0184683101684717,0.0409826688092388
"MN",0.0954047840336944,0.384803309495034,0.354226289742177,0.182394126983988,0.198674160522709,0.0479009461126677,0.024503121172606,0,0.0916527227600493,0.215287298966281,0.0667404535926179,0.334034643611745,0.0548386723618876,0.265787683100638,0.0375736969811039,0.0694349964043459,0.019212131652438,0.0823490008768623
"MO",0.154571963783513,0.423737776518002,0.388548724828577,0.242923315927406,0.252228708088695,0.115717308293806,0.0958801322261729,0.0916527227600493,0,0.276549485214997,0.129678247099589,0.379011664718,0.132544144049225,0.31352452369326,0.045687241555617,0.157297978168224,0.0925169933473154,0.147677116293853
"MT",0.0930440781097263,0.167659752272792,0.116942696917554,0.361928006830572,0.00410967681005096,0.247996826808885,0.232290035908951,0.215287298966281,0.276549485214997,0,0.27011329495823,0.114016600474077,0.254952560197132,-0.0188138182556129,0.236727742366532,0.25568266449131,0.231326517425565,0.282819769327007
"NC",0.168342492950223,0.387521125369617,0.368039114853204,0.103983050819177,0.25740537493597,0.055625897338307,0.036980278478399,0.0667404535926179,0.129678247099589,0.27011329495823,0,0.351022929756341,0.0460560802887509,0.311858712451159,0.092345339610056,0.0472952968250204,0.0567440217737732,0.0349327349895345
"NM",0.190084053161195,0.0230346005565525,0.0286229823133774,0.451069332282359,0.109134244042162,0.340389644507087,0.326764247880219,0.334034643611745,0.379011664718,0.114016600474077,0.351022929756341,0,0.364117953144755,0.0948468903872667,0.351261434608702,0.406394152037386,0.329805135341006,0.376833172343763
"NY",0.132374127395047,0.416129416347252,0.381174642323961,0.17859900659757,0.232738211678726,0.0362201381272022,0.0353763994705629,0.0548386723618876,0.132544144049225,0.254952560197132,0.0460560802887509,0.364117953144755,0,0.29574023004196,0.0856095479569353,0.0789816386376065,0.0468868420645841,0.0622911523438937
"OR",0.132497398085311,0.133615754478828,0.0953869450757426,0.383456288338913,0.0196877101013758,0.291257406532957,0.278864692834858,0.265787683100638,0.31352452369326,-0.0188138182556129,0.311858712451159,0.0948468903872667,0.29574023004196,0,0.280810495779489,0.300218415849615,0.277666448427471,0.321010838606586
"OZ",0.117497033881246,0.401994750759453,0.367877438932173,0.209059380791213,0.216820009511976,0.0753606887000461,0.0530322315828984,0.0375736969811039,0.045687241555617,0.236727742366532,0.092345339610056,0.351261434608702,0.0856095479569353,0.280810495779489,0,0.0937288443129134,0.0473656903769844,0.103992295154421
"PA",0.122291548285453,0.479390748773954,0.419756437341666,0.215242980678642,0.230974153065664,0.0619300634374498,0.0423728991455435,0.0694349964043459,0.157297978168224,0.25568266449131,0.0472952968250204,0.406394152037386,0.0789816386376065,0.300218415849615,0.0937288443129134,0,0.0637288698360611,0.0662960271526636
"WI",0.121939905328697,0.371078577955899,0.348075349469677,0.153144842033322,0.216249843597449,0.0434506441033483,0.0184683101684717,0.019212131652438,0.0925169933473154,0.231326517425565,0.0567440217737732,0.329805135341006,0.0468868420645841,0.277666448427471,0.0473656903769844,0.0637288698360611,0,0.0648926754204793
"WV",0.16373273045599,0.421647988754917,0.392721230492555,0.154588331214257,0.261980525377381,0.0608756173490847,0.0409826688092388,0.0823490008768623,0.147677116293853,0.282819769327007,0.0349327349895345,0.376833172343763,0.0622911523438937,0.321010838606586,0.103992295154421,0.0662960271526636,0.0648926754204793,0
