,sit1,sit2,sit3,sit4,sit5,sit6,sit7,sit8,sit9,sit10,sit11,sit12,sit13,sit14,sit15
sit1,0,1.050807808,1.385574144,1.203132448,3.505860721,0.774070593,1.836119428,0.654499478,0.923450332,1.022990095,2.370411665,1.145773226,0.870293477,1.870965226,1.361870982
sit2,1.050807808,0,2.425123112,2.253042119,3.735017297,0.912479087,1.547474425,1.696915053,0.323357738,1.370163082,3.410141257,2.196574427,1.042122729,0.990868692,1.301052452
sit3,1.385574144,2.425123112,0,0.254558092,3.409281532,1.815471198,2.675153677,0.731135597,2.305752478,1.66654527,1.188025082,0.337957106,1.805322366,3.239827846,2.462883414
sit4,1.203132448,2.253042119,0.254558092,0,3.553623557,1.71846348,2.643310339,0.564005814,2.110758338,1.633529607,1.230529854,0.083494196,1.72750151,3.031242528,2.217165481
sit5,3.505860721,3.735017297,3.409281532,3.553623557,0,2.9219101,2.318217975,3.384274435,3.941477782,2.512328547,4.422060349,3.59989778,2.780768559,4.667618768,4.796199197
sit6,0.774070593,0.912479087,1.815471198,1.71846348,2.9219101,0,1.062063767,1.176934096,1.040067162,0.45935811,2.948003066,1.689399796,0.141755716,1.903197026,1.884623253
sit7,1.836119428,1.547474425,2.675153677,2.643310339,2.318217975,1.062063767,0,2.158379337,1.824963372,1.011079599,3.85821091,2.633555425,0.980035198,2.388956324,2.794663792
sit8,0.654499478,1.696915053,0.731135597,0.564005814,3.384274435,1.176934096,2.158379337,0,1.576081752,1.171488406,1.778800443,0.52058384,1.204038497,2.516249912,1.838308264
sit9,0.923450332,0.323357738,2.305752478,2.110758338,3.941477782,1.040067162,1.824963372,1.576081752,0,1.492965163,3.218699092,2.046567128,1.18059164,0.955928687,0.986197267
sit10,1.022990095,1.370163082,1.66654527,1.633529607,2.512328547,0.45935811,1.011079599,1.171488406,1.492965163,0,2.847444609,1.626636962,0.329266643,2.361003877,2.285405321
sit11,2.370411665,3.410141257,1.188025082,1.230529854,4.422060349,2.948003066,3.85821091,1.778800443,3.218699092,2.847444609,0,1.259743547,2.957717125,4.07051258,3.046456283
sit12,1.145773226,2.196574427,0.337957106,0.083494196,3.59989778,1.689399796,2.633555425,0.52058384,2.046567128,1.626636962,1.259743547,0,1.704995392,2.961712818,2.135835598
sit13,0.870293477,1.042122729,1.805322366,1.72750151,2.780768559,0.141755716,0.980035198,1.204038497,1.18059164,0.329266643,2.957717125,1.704995392,0,2.032704539,2.023047788
sit14,1.870965226,0.990868692,3.239827846,3.031242528,4.667618768,1.903197026,2.388956324,2.516249912,0.955928687,2.361003877,4.07051258,2.961712818,2.032704539,0,1.225444479
sit15,1.361870982,1.301052452,2.462883414,2.217165481,4.796199197,1.884623253,2.794663792,1.838308264,0.986197267,2.285405321,3.046456283,2.135835598,2.023047788,1.225444479,0
