,CAR,COA,EB,GAAR,KEN,KR,LACL,MCK,PA,TAL,WAR,WB,WCHU,WRST,YT
CAR,0,0.202099108,0.195261543,0.213037463,0.280665439,0.120391855,0.143982527,0.122469567,0.160400131,0.062241945,0.057442895,0.236593373,0.083219978,0.065643057,0.130090155
COA,0.202099108,0,0.258289761,0.293723798,0.45448588,0.051087118,0.342490318,0.220678259,0.058969548,0.271931298,0.245161656,0.319278478,0.238293495,0.159152861,0.247040244
EB,0.195261543,0.258289761,0,0.048824712,0.424184469,0.196254478,0.287213723,0.185029694,0.227516474,0.23734651,0.201689065,0.120407284,0.221275095,0.19147374,0.232771859
GAAR,0.213037463,0.293723798,0.048824712,0,0.455241352,0.234513625,0.300301627,0.225481036,0.263662209,0.276051338,0.221032916,0.064024264,0.243826151,0.220814007,0.241516119
KEN,0.280665439,0.45448588,0.424184469,0.455241352,0,0.372618354,0.447572997,0.426432457,0.406078841,0.258371484,0.34399714,0.462328644,0.190988641,0.309617926,0.405755343
KR,0.120391855,0.051087118,0.196254478,0.234513625,0.372618354,0,0.286426918,0.147813226,0.056709817,0.164957153,0.175810993,0.27179528,0.158599817,0.071014947,0.201361932
LACL,0.143982527,0.342490318,0.287213723,0.300301627,0.447572997,0.286426918,0,0.250917107,0.29302126,0.227134819,0.105170535,0.290083132,0.216840643,0.219088172,0.244456168
MCK,0.122469567,0.220678259,0.185029694,0.225481036,0.426432457,0.147813226,0.250917107,0,0.148044395,0.191432505,0.14778222,0.25899558,0.189113094,0.154765744,0.103048645
PA,0.160400131,0.058969548,0.227516474,0.263662209,0.406078841,0.056709817,0.29302126,0.148044395,0,0.218104134,0.197110761,0.293733507,0.203151901,0.141996524,0.208813102
TAL,0.062241945,0.271931298,0.23734651,0.276051338,0.258371484,0.164957153,0.227134819,0.191432505,0.218104134,0,0.127323846,0.307188379,0.037342001,0.117922145,0.22043319
WAR,0.057442895,0.245161656,0.201689065,0.221032916,0.34399714,0.175810993,0.105170535,0.14778222,0.197110761,0.127323846,0,0.241934207,0.12511477,0.129741384,0.181282259
WB,0.236593373,0.319278478,0.120407284,0.064024264,0.462328644,0.27179528,0.290083132,0.25899558,0.293733507,0.307188379,0.241934207,0,0.261471778,0.254179757,0.270536698
WCHU,0.083219978,0.238293495,0.221275095,0.243826151,0.190988641,0.158599817,0.216840643,0.189113094,0.203151901,0.037342001,0.12511477,0.261471778,0,0.120433522,0.209711414
WRST,0.065643057,0.159152861,0.19147374,0.220814007,0.309617926,0.071014947,0.219088172,0.154765744,0.141996524,0.117922145,0.129741384,0.254179757,0.120433522,0,0.175852414
YT,0.130090155,0.247040244,0.232771859,0.241516119,0.405755343,0.201361932,0.244456168,0.103048645,0.208813102,0.22043319,0.181282259,0.270536698,0.209711414,0.175852414,0
