"","Beja","Castile and Leon","Castilla-La Mancha","Harghita County","Hessen","Mures County","Niedersachsen","Nordrhein-Westfalen","Rheinland-Pfalz","Sachsen-Anhalt","Tuscany","Udine","Wallonia"
"Beja",0,0.154211831905501,0.0882829080359939,0.457009369165449,0.405052361954857,0.442621606023964,0.407467100207611,0.411983195828269,0.353115367080513,0.415546211297434,0.304488380929187,0.376665444216933,0.332977450984637
"Castile and Leon",0.154211831905501,0,0.0598957642224461,0.229584112565678,0.159260460590334,0.242944719558265,0.188328406598646,0.195163743213207,0.134247889926521,0.193084662127665,0.141538461538462,0.215948316485863,0.150040191214994
"Castilla-La Mancha",0.0882829080359939,0.0598957642224461,0,0.358643158472909,0.287418503798261,0.35610532332247,0.300145133091365,0.303648879513812,0.251448768287198,0.3039964003656,0.193067171152049,0.297243786558821,0.235862378714604
"Harghita County",0.457009369165449,0.229584112565678,0.358643158472909,0,-0.000605510142294868,-0.0198413350196278,0.0264992618793575,0.00808467732653167,0.0010864457914577,0.0227959872068541,0.179140339948385,0.0317222124733579,0.0187545645121885
"Hessen",0.405052361954857,0.159260460590334,0.287418503798261,-0.000605510142294868,0,0.0163795155133925,0.0141497298687934,0.01924252832781,-0.0184990845855131,0.00538387166660739,0.146197360150849,0.0512574176603728,0.0260722200710124
"Mures County",0.442621606023964,0.242944719558265,0.35610532332247,-0.0198413350196278,0.0163795155133925,0,0.0496851266550476,0.0326906483703016,0.0399155016011084,0.0375096115048762,0.198006612639962,0.0331266438250579,0.0386779303902034
"Niedersachsen",0.407467100207611,0.188328406598646,0.300145133091365,0.0264992618793575,0.0141497298687934,0.0496851266550476,0,-0.0257280782991786,0.00763432166441864,-0.0526315789473684,0.164851723278605,0.0529565970216705,0.0114265551750116
"Nordrhein-Westfalen",0.411983195828269,0.195163743213207,0.303648879513812,0.00808467732653167,0.01924252832781,0.0326906483703016,-0.0257280782991786,0,-0.00386280347477525,-0.0178326447388536,0.17130322883978,0.05483917091888,0.0207095753088648
"Rheinland-Pfalz",0.353115367080513,0.134247889926521,0.251448768287198,0.0010864457914577,-0.0184990845855131,0.0399155016011084,0.00763432166441864,-0.00386280347477525,0,-0.019129894234278,0.114099628561316,0.0539436740187393,0.0208776084197444
"Sachsen-Anhalt",0.415546211297434,0.193084662127665,0.3039964003656,0.0227959872068541,0.00538387166660739,0.0375096115048762,-0.0526315789473684,-0.0178326447388536,-0.019129894234278,0,0.149381681297514,0.0452816168572176,0.0156833802997816
"Tuscany",0.304488380929187,0.141538461538462,0.193067171152049,0.179140339948385,0.146197360150849,0.198006612639962,0.164851723278605,0.17130322883978,0.114099628561316,0.149381681297514,0,0.153049964628153,0.140897921596918
"Udine",0.376665444216933,0.215948316485863,0.297243786558821,0.0317222124733579,0.0512574176603728,0.0331266438250579,0.0529565970216705,0.05483917091888,0.0539436740187393,0.0452816168572176,0.153049964628153,0,0.0607715884576304
"Wallonia",0.332977450984637,0.150040191214994,0.235862378714604,0.0187545645121885,0.0260722200710124,0.0386779303902034,0.0114265551750116,0.0207095753088648,0.0208776084197444,0.0156833802997816,0.140897921596918,0.0607715884576304,0
