"","Aqu","Bas","Cat","Des","Dev","Dor","Gra","Pal","Val","Vld"
"Aqu",0,0.0391251278396746,0.0362766134055605,0.0162666452829689,0.110365045949103,0.0932531267769815,0.028196630015728,0.0367245839111039,0.0373564107246823,0.0272030758045545
"Bas",0.0391251278396746,0,0.0273864305418758,0.0333942795242974,0.0931791751856586,0.0803219842924259,0.0332376133235808,0.039501643807029,0.0415144697668234,0.0336276209612979
"Cat",0.0362766134055605,0.0273864305418758,0,0.0279078346945645,0.0847655985026881,0.0712027941144617,0.0306240968687143,0.0364370340665755,0.033321961067467,0.0257548849480622
"Des",0.0162666452829689,0.0333942795242974,0.0279078346945645,0,0.116990523633482,0.0757864338491562,0.0213291929372669,0.0272029376565723,0.0311888885778442,0.017647055077224
"Dev",0.110365045949103,0.0931791751856586,0.0847655985026881,0.116990523633482,0,0.0616446024951785,0.104463174963709,0.11181905344522,0.105435027466537,0.101091784486273
"Dor",0.0932531267769815,0.0803219842924259,0.0712027941144617,0.0757864338491562,0.0616446024951785,0,0.0903986813029727,0.0971121933098953,0.094568927218998,0.0840915975245003
"Gra",0.028196630015728,0.0332376133235808,0.0306240968687143,0.0213291929372669,0.104463174963709,0.0903986813029727,0,0.0291979341281802,0.0340212703266506,0.0245869737074738
"Pal",0.0367245839111039,0.039501643807029,0.0364370340665755,0.0272029376565723,0.11181905344522,0.0971121933098953,0.0291979341281802,0,0.0383548387504612,0.0291625565145371
"Val",0.0373564107246823,0.0415144697668234,0.033321961067467,0.0311888885778442,0.105435027466537,0.094568927218998,0.0340212703266506,0.0383548387504612,0,0.0321581966236512
"Vld",0.0272030758045545,0.0336276209612979,0.0257548849480622,0.017647055077224,0.101091784486273,0.0840915975245003,0.0245869737074738,0.0291625565145371,0.0321581966236512,0
