"","Bessiebelle","Cape Otway","Charleville","City of Lismore","Clermont Mine","Coffs Harbour","Cooma","Coomera","Duranbah Quarry","Featherdale Wildlife Park","French Island","Gunnedah","Iluka","Isaac region","Kentlyn","Kyogle shire","Maitland","Maryborough","Mona Vale","Narrandera","Peak Downs Hwy","Port Macquarie","Redlands","Shire of Balonne","Strezlecki/East Gippsland","Tanglewood area","Tooloom","Tyagarah","Wardell","Wedderburn","Whitsunday/Mackay region"
"Bessiebelle",0,0.0207078369438157,0.355497534087612,0.379649434484729,0.346513976555455,0.330169985565941,0.283687233574159,0.352678882835924,0.363557162162587,0.332866777661766,0.0211657549659643,0.3441558917578,0.371237587419342,0.377912773160673,0.334112174288449,0.318089138853538,0.348598887962548,0.378418668864847,0.375350283174224,0.242999957225776,0.393978696717524,0.319863932874572,0.367176748975609,0.340104909453212,0.0485329928785773,0.354161733123198,0.255086891698944,0.379098074707259,0.355943041375605,0.341966922866837,0.349082259601602
"Cape Otway",0.0207078369438157,0,0.372096084980891,0.378532799670966,0.346732057526315,0.334367346938776,0.298274050629809,0.358566168252921,0.37431921361351,0.33524162911918,0.0152490061717407,0.343898200599914,0.386903464807148,0.38018129967744,0.34743365632386,0.324459496342185,0.348357950374554,0.380023274441942,0.39193809904973,0.245796024913004,0.406443836064234,0.325011561385946,0.369917659594728,0.351286730380986,0.0557218772260675,0.36775973162424,0.268740937938247,0.393877422997303,0.359029468558475,0.3436079552127,0.348030613842136
"Charleville",0.355497534087612,0.372096084980891,0,0.157377601208939,0.10970528654689,0.125492239738089,0.265651845311993,0.119236645627085,0.12526678706288,0.164115642788648,0.328939078353419,0.212589132661365,0.100388820015778,0.113478676831391,0.288986841533852,0.0666914119377665,0.196676682814115,0.145317107160254,0.186854583772392,0.218098358072171,0.122086634665433,0.136723476060203,0.115756366336467,0.0635659863997643,0.348630784398091,0.092722658324972,0.0503285295633479,0.109620015269866,0.124104851264358,0.313354493729459,0.102772862816912
"City of Lismore",0.379649434484729,0.378532799670966,0.157377601208939,0,0.151636549387663,0.133615022818903,0.295664276188909,0.140632112174935,0.106571514299484,0.1790351979004,0.347602547053892,0.211358271316604,0.177478152214031,0.161768457395837,0.309232237636633,0.0814136228768767,0.203448629384264,0.185689563156567,0.265932991925663,0.214886682982027,0.180717153476811,0.156264697156117,0.13859233842651,0.122990408116102,0.364106402024699,0.0875654068540849,0.204922702220375,0.0909770421891886,0.0284678143056748,0.323682844506244,0.146424117359583
"Clermont Mine",0.346513976555455,0.346732057526315,0.10970528654689,0.151636549387663,0,0.126033294917562,0.26282193768526,0.127687416288732,0.133152038532649,0.151091299497934,0.311382581084893,0.198494367417678,0.167919196998608,0.0563350007617921,0.273309082386322,0.0857107909382713,0.187536841251008,0.118469329507815,0.232338721547346,0.213476381825708,0.0678302158925527,0.136408952837808,0.113950784483594,0.0521590871046098,0.32348802863242,0.101517165257481,0.197370652720119,0.124917074537757,0.135282201526431,0.28643427870347,0.0429595041128635
"Coffs Harbour",0.330169985565941,0.334367346938776,0.125492239738089,0.133615022818903,0.126033294917562,0,0.231939965702974,0.120473612600183,0.11630433530663,0.107829128153885,0.29377693166051,0.134115774016404,0.117535488706685,0.1385037170412,0.247047409240868,0.0505728127365239,0.10720987180811,0.161451500345014,0.188088702067427,0.185307973969943,0.153684812660883,0.0557011105616649,0.1229969797048,0.0874651641958199,0.313921926232326,0.0804650958626172,0.14984764203898,0.111577389477705,0.119288045861279,0.262795885621928,0.120037388879664
"Cooma",0.283687233574159,0.298274050629809,0.265651845311993,0.295664276188909,0.26282193768526,0.231939965702974,0,0.275238914296908,0.281152412612068,0.233234480179722,0.270517959319705,0.241312160359405,0.290854094001282,0.289334337060069,0.256526516057203,0.221073825503356,0.263230947409265,0.298973504595045,0.284122396194289,0.257314033666963,0.302771165324802,0.227790419684889,0.28105735543089,0.250651621630539,0.268626124138202,0.263261177795139,0.170555131375575,0.287164851379424,0.272588848044158,0.264942446083626,0.253935396295558
"Coomera",0.352678882835924,0.358566168252921,0.119236645627085,0.140632112174935,0.127687416288732,0.120473612600183,0.275238914296908,0,0.123570779313974,0.162443474238026,0.324352745519228,0.197008274509475,0.155504176250197,0.141739827063865,0.292403599299987,0.0791496057655275,0.187448075389115,0.163277575229978,0.235230630115929,0.216231121181,0.156826107773616,0.131438293263871,0.116445984472226,0.0904245040257971,0.339742742781642,0.098524876891914,0.17990507664701,0.120772506670144,0.125085185526932,0.310108101675988,0.127054412751515
"Duranbah Quarry",0.363557162162587,0.37431921361351,0.12526678706288,0.106571514299484,0.133152038532649,0.11630433530663,0.281152412612068,0.123570779313974,0,0.159234061725614,0.334005769928991,0.19972213653489,0.161646529999225,0.147835424440875,0.287795579278532,0.0712405025201234,0.187707689517219,0.161620787051858,0.249262824388113,0.210885783335085,0.172510285785529,0.135868730830321,0.114619338184534,0.101637639719262,0.346339058738304,0.0260801330136632,0.126043497283001,0.0628017805049794,0.0868252376734498,0.305828956357137,0.127810150699645
"Featherdale Wildlife Park",0.332866777661766,0.33524162911918,0.164115642788648,0.1790351979004,0.151091299497934,0.107829128153885,0.233234480179722,0.162443474238026,0.159234061725614,0,0.299381210008517,0.0795506377796475,0.17879064455989,0.167089173138684,0.258847260980362,0.0977423821617792,0.145381260659424,0.188776097322193,0.213041253029579,0.210516197286817,0.176271140710229,0.11420334802427,0.162444331583145,0.120143633854413,0.311508699096719,0.139481640064458,0.170990320178704,0.162880556700087,0.163178065119177,0.269794280398691,0.142354357782954
"French Island",0.0211657549659643,0.0152490061717407,0.328939078353419,0.347602547053892,0.311382581084893,0.29377693166051,0.270517959319705,0.324352745519228,0.334005769928991,0.299381210008517,0,0.311400501774764,0.346081320690601,0.339653456106514,0.316230167225671,0.281334937610554,0.309899758535542,0.34729188833307,0.346281028233009,0.216633327425113,0.365174078967005,0.284762574394663,0.333044235933151,0.308720171107021,0.046444581682964,0.324922125379343,0.227104892038672,0.352099309790611,0.324316293773127,0.318196763916914,0.311923897254313
"Gunnedah",0.3441558917578,0.343898200599914,0.212589132661365,0.211358271316604,0.198494367417678,0.134115774016404,0.241312160359405,0.197008274509475,0.19972213653489,0.0795506377796475,0.311400501774764,0,0.21760069151454,0.209181339124523,0.268066060513749,0.132382817804042,0.167134751402369,0.238185190036608,0.217125669705799,0.230962850096446,0.228939172201584,0.132203618897575,0.206925714933696,0.17423628159878,0.322620259071945,0.184711603005943,0.221018284119325,0.209801852854504,0.198218133491607,0.274295151547525,0.186209626345788
"Iluka",0.371237587419342,0.386903464807148,0.100388820015778,0.177478152214031,0.167919196998608,0.117535488706685,0.290854094001282,0.155504176250197,0.161646529999225,0.17879064455989,0.346081320690601,0.21760069151454,0,0.189646503967387,0.308714182059998,0.0961932029124713,0.198375671249572,0.195783627971365,0.230485762144054,0.226923321669744,0.195546173514896,0.138882564330248,0.163711546200604,0.125440943049378,0.362709131165342,0.122225065574819,0.0750129377639195,0.148556662044624,0.148790665497504,0.330127333449434,0.164965597902066
"Isaac region",0.377912773160673,0.38018129967744,0.113478676831391,0.161768457395837,0.0563350007617921,0.1385037170412,0.289334337060069,0.141739827063865,0.147835424440875,0.167089173138684,0.339653456106514,0.209181339124523,0.189646503967387,0,0.302356189698519,0.0832738232610985,0.199190731902548,0.124339053397639,0.25794206796724,0.235884518717757,0.0187606218188875,0.149869467045699,0.12793931312192,0.0586732751158214,0.356748109164625,0.112895781145323,0.153092549544721,0.138959730593232,0.146353487204728,0.3104213991944,0.00741864044602291
"Kentlyn",0.334112174288449,0.34743365632386,0.288986841533852,0.309232237636633,0.273309082386322,0.247047409240868,0.256526516057203,0.292403599299987,0.287795579278532,0.258847260980362,0.316230167225671,0.268066060513749,0.308714182059998,0.302356189698519,0,0.24577970357501,0.277387681761534,0.3116286991974,0.294510665328743,0.288395635117464,0.32229633573938,0.24314368550805,0.291519936100633,0.273229528414142,0.320694300176882,0.27504619363405,0.209223987304722,0.298645689498863,0.290924034160656,0.0392720497129549,0.268376927489099
"Kyogle shire",0.318089138853538,0.324459496342185,0.0666914119377665,0.0814136228768767,0.0857107909382713,0.0505728127365239,0.221073825503356,0.0791496057655275,0.0712405025201234,0.0977423821617792,0.281334937610554,0.132382817804042,0.0961932029124713,0.0832738232610985,0.24577970357501,0,0.129823802503495,0.116502660075817,0.184800899082411,0.162039787229211,0.0836519748300073,0.068464736568601,0.0749790077613378,0.0335700211903788,0.305870178076005,0.0330691924530065,0.0923759059821663,0.045701482459102,0.063144006227458,0.259958549213706,0.0669596339260021
"Maitland",0.348598887962548,0.348357950374554,0.196676682814115,0.203448629384264,0.187536841251008,0.10720987180811,0.263230947409265,0.187448075389115,0.187707689517219,0.145381260659424,0.309899758535542,0.167134751402369,0.198375671249572,0.199190731902548,0.277387681761534,0.129823802503495,0,0.223057262568888,0.210619886807075,0.22595672864239,0.228234599210994,0.111140036742607,0.189777409063948,0.164661858854247,0.322811431092337,0.160360284217092,0.19807829026247,0.189163405925233,0.188257672673658,0.28518433569228,0.183070003913683
"Maryborough",0.378418668864847,0.380023274441942,0.145317107160254,0.185689563156567,0.118469329507815,0.161451500345014,0.298973504595045,0.163277575229978,0.161620787051858,0.188776097322193,0.34729188833307,0.238185190036608,0.195783627971365,0.124339053397639,0.3116286991974,0.116502660075817,0.223057262568888,0,0.283707671114389,0.256373029389074,0.150928856203368,0.177519912925212,0.137773024797277,0.104893683948388,0.357434973731078,0.128329902244795,0.223502895856879,0.16370331302277,0.17346047789697,0.325129033083067,0.113001858169855
"Mona Vale",0.375350283174224,0.39193809904973,0.186854583772392,0.265932991925663,0.232338721547346,0.188088702067427,0.284122396194289,0.235230630115929,0.249262824388113,0.213041253029579,0.346281028233009,0.217125669705799,0.230485762144054,0.25794206796724,0.294510665328743,0.184800899082411,0.210619886807075,0.283707671114389,0,0.269719315182649,0.267993917548998,0.188577135580265,0.245838370803537,0.211230550047449,0.356643199908923,0.232677875385421,0.100924239645488,0.248349357118035,0.241448369782905,0.303622367144584,0.229933055639614
