"","Balfour Downs","Barlee Range Nat Res","Bonney Downs","Brockman Mine","Coongan River","Dresser","Marble Bar","Meentheena","Mount Bruce","Mount Elvire","Mount Florance","Newman","Pannawonica","Paraburdoo","Peedamulla","Port Hedland","Rhodes Ridge","Tom Price","Warramboo Creek","Weeli Wolli Springs","Wheelarra Hill","Wodgina","Woodstock","Yarrie"
"Balfour Downs",0,0.165966672031534,0.0268747260296493,0.0840259084097728,0.0272651479702445,0.0366824485868224,0.0255392904128469,0.0107683456777148,0.0733451467909184,0.0865259754542434,0.083769623883231,0.0812564869930224,0.0843241506974963,0.0791080399868702,0.0828577295426235,0.0418416678983178,0.0848760285756642,0.072622417331704,0.105715115011846,0.0824446866978648,0.0612596666212038,0.0473789591614382,0.0396921027575461,0.0128241101498346
"Barlee Range Nat Res",0.165966672031534,0,0.135785299815925,0.101764329667977,0.134189752430976,0.140609570391247,0.128428064643888,0.15842719437422,0.0956118697626353,0.102512335396662,0.105237041939752,0.102498917951337,0.0985376931908174,0.0967809934168223,0.0962318188704426,0.1094769215089,0.116265854060257,0.0857113358749326,0.123733715059248,0.117785024597279,0.116889522929469,0.12297530051976,0.110860361418518,0.15963366707267
"Bonney Downs",0.0268747260296493,0.135785299815925,0,0.041884900163718,0.00372031292802971,0.00532522272958806,0.00710988795523157,0.0138894348973162,0.0376707690216093,0.0480445418569033,0.0382277023944319,0.041227027811676,0.0435977019984475,0.042436843563691,0.0505332978633539,0.00618170375587461,0.039280689384019,0.0386227910876268,0.0651488943276495,0.0407304790988331,0.0371947323149291,0.0127837284631713,0.00815195525902578,0.00724442480051682
"Brockman Mine",0.0840259084097728,0.101764329667977,0.041884900163718,0,0.05137029364898,0.0421165218092554,0.0393885659763414,0.0696854003114455,0.00875834654272562,0.0093990153100612,0.00358057889744077,0.0158950797279093,0.00901695366024352,0.0101482709157631,0.00337328196583496,0.0265247052438159,0.00810307116102236,0.000634292614558227,0.0284043020772563,0.012835701774124,0.0246174227212466,0.0418733469882768,0.0254524249976427,0.0589430409272658
"Coongan River",0.0272651479702445,0.134189752430976,0.00372031292802971,0.05137029364898,0,0.00142835828556602,0.00314351649956998,0.0166068649851073,0.0423710698803417,0.0566942506416534,0.0501985236710166,0.0502950035998898,0.0484752479378909,0.0499890826392134,0.0534073483096663,0.00976634634730133,0.0467036917259212,0.0491564715470873,0.076422239419712,0.0498919734400772,0.0451223394797413,0.0118971286519254,0.00923828676882151,0.00592352267042707
"Dresser",0.0366824485868224,0.140609570391247,0.00532522272958806,0.0421165218092554,0.00142835828556602,0,0.00148562729981918,0.0281795249140809,0.0397203201949282,0.0519672212711215,0.0431324516173495,0.046764477291674,0.0463486757936417,0.0471722244870491,0.0506795039993829,-0.00123530596566062,0.0405131435677118,0.0390569201688434,0.0729197935474867,0.0479963518640409,0.0410213980887797,0.00589849367238956,0.00512307528394734,0.0188124373990521
"Marble Bar",0.0255392904128469,0.128428064643888,0.00710988795523157,0.0393885659763414,0.00314351649956998,0.00148562729981918,0,0.01586996982659,0.0353491234555663,0.046610835334596,0.0413917448183888,0.0391287659717135,0.0468559649178463,0.0406442938381561,0.0484601105198017,0.00587794822145882,0.0355816761937297,0.0374756784585445,0.0713276286668136,0.0359340622174796,0.035579747174953,0.0132238507170592,0.00892889403874946,0.0126479051981191
"Meentheena",0.0107683456777148,0.15842719437422,0.0138894348973162,0.0696854003114455,0.0166068649851073,0.0281795249140809,0.01586996982659,0,0.0621771474125354,0.0776595080506116,0.0736621462622467,0.0676922258840802,0.0737440881052974,0.07273220613026,0.0746094023200819,0.0313762517048858,0.070988363165283,0.0612632588695198,0.0946843090243407,0.0696286196932698,0.058063980456146,0.0379797455387034,0.0313241329406159,0.00361637124010699
"Mount Bruce",0.0733451467909184,0.0956118697626353,0.0376707690216093,0.00875834654272562,0.0423710698803417,0.0397203201949282,0.0353491234555663,0.0621771474125354,0,0.0122572645771924,0.0102740187202956,0.00462253385699855,0.0104996065059615,0.00490468687799734,0.0141272964576449,0.0221490887866938,0.00532074477139764,0.00291225559232285,0.0319768005348922,0.00248885101766436,0.0157374486155942,0.0368492243556731,0.0220866679928736,0.0533747451044952
"Mount Elvire",0.0865259754542434,0.102512335396662,0.0480445418569033,0.0093990153100612,0.0566942506416534,0.0519672212711215,0.046610835334596,0.0776595080506116,0.0122572645771924,0,0.00441617052090249,0.0212513354063249,0.00372776548203212,0.0167304710128019,0.00489103618749542,0.031974815675889,0.0227926126758047,0.00596014851290078,0.0177981517534733,0.0193409529004278,0.0265297772134449,0.0477898008285278,0.0347720103701975,0.0671332855137082
"Mount Florance",0.083769623883231,0.105237041939752,0.0382277023944319,0.00358057889744077,0.0501985236710166,0.0431324516173495,0.0413917448183888,0.0736621462622467,0.0102740187202956,0.00441617052090249,0,0.0148131665785322,0.00601078061591043,0.0145015288319479,0.00871729921772377,0.025592434460723,0.0102016557515748,0.00676387924888348,0.0235085477424606,0.0139202227835129,0.0246143442226253,0.0429330894395513,0.0251171772966671,0.0534193989520156
"Newman",0.0812564869930224,0.102498917951337,0.041227027811676,0.0158950797279093,0.0502950035998898,0.046764477291674,0.0391287659717135,0.0676922258840802,0.00462253385699855,0.0212513354063249,0.0148131665785322,0,0.0187222411810254,0.00775642474695987,0.0228292506773148,0.0298517880840812,-0.00269119739121398,0.0110293414284538,0.0377825799992014,9.74751955445921e-05,0.0146968585906504,0.0444909581090617,0.0300502803680886,0.0573226274110012
"Pannawonica",0.0843241506974963,0.0985376931908174,0.0435977019984475,0.00901695366024352,0.0484752479378909,0.0463486757936417,0.0468559649178463,0.0737440881052974,0.0104996065059615,0.00372776548203212,0.00601078061591043,0.0187222411810254,0,0.016767552076152,0.000969157956661677,0.0320805159451075,0.0227041135366672,0.00830404714448619,0.0139564942787484,0.0236443243628607,0.0303248682029539,0.0462229860236276,0.0348190002511434,0.0592369645025964
