"","sit1","sit2","sit3","sit4","sit5","sit6","sit7","sit8","sit9","sit10","sit11","sit12"
"sit1",0,0.557291476412546,2.26116471339211,1.88455543878349,1.51687481954087,2.92650491684654,2.21112858040217,1.79932019673457,3.71434872439245,3.44417542061806,2.04538478368535,3.41329606436008
"sit2",0.557291476412546,0,2.5669927696624,2.23379543925474,2.01178829594466,3.3817933686979,2.42420914668253,2.31835027930423,3.96299645433311,3.14824468843378,2.50358043626477,3.56238001954468
"sit3",2.26116471339211,2.5669927696624,0,0.416110655303986,1.22780449839915,1.26679887898128,0.45512325921825,1.3940692135607,1.47371090459243,3.17213505038829,0.902900545573878,1.40124117775891
"sit4",1.88455543878349,2.23379543925474,0.416110655303986,0,0.836034967475356,1.30540450321763,0.671455989332391,1.0539407645153,1.88435367093628,3.26648747666573,0.654951755665085,1.79597588651537
"sit5",1.51687481954087,2.01178829594466,1.22780449839915,0.836034967475356,0,1.42900899867401,1.48973463456624,0.355415024207323,2.62949465752765,3.86429769449773,0.571152546366475,2.62668802768828
"sit6",2.92650491684654,3.3817933686979,1.26679887898128,1.30540450321763,1.42900899867401,0,1.71961961936165,1.25601428171446,1.83121554503689,4.43483455984758,0.881580195969695,2.25119846723693
"sit7",2.21112858040217,2.42420914668253,0.45512325921825,0.671455989332391,1.48973463456624,1.71961961936165,0,1.72538055520074,1.54077770555174,2.71714180982825,1.29439705631192,1.22484219012517
"sit8",1.79932019673457,2.31835027930423,1.3940692135607,1.0539407645153,0.355415024207323,1.25601428171446,1.72538055520074,0,2.69134140533047,4.19710217542282,0.544200132947973,2.78683401846448
"sit9",3.71434872439245,3.96299645433311,1.47371090459243,1.88435367093628,2.62949465752765,1.83121554503689,1.54077770555174,2.69134140533047,0,3.5222844119365,2.14718351182413,0.783389021895811
"sit10",3.44417542061806,3.14824468843378,3.17213505038829,3.26648747666573,3.86429769449773,4.43483455984758,2.71714180982825,4.19710217542282,3.5222844119365,0,3.91811362411992,2.7426174727576
"sit11",2.04538478368535,2.50358043626477,0.902900545573878,0.654951755665085,0.571152546366475,0.881580195969695,1.29439705631192,0.544200132947973,2.14718351182413,3.91811362411992,0,2.26767480377397
"sit12",3.41329606436008,3.56238001954468,1.40124117775891,1.79597588651537,2.62668802768828,2.25119846723693,1.22484219012517,2.78683401846448,0.783389021895811,2.7426174727576,2.26767480377397,0
