"","BB","DS","FB","GB","LS","MC","NB","NW","SB","SH","VM","WH"
"BB",0,0.00629027275765814,0.0244004128110716,0.00644440929924593,0.00557138529017386,0.0163172077493835,0.0341430309029882,0.0381683090514802,0.0262769259561723,0.0383385588511945,0.0191700568215321,0.0347536207269599
"DS",0.00629027275765814,0,0.0144798286126577,0.0116620252788278,0.0122402203173298,0.0240821289551613,0.0385323239633887,0.0439410433366915,0.0307732404003461,0.0288388921835548,0.0266694945100424,0.0245118097873545
"FB",0.0244004128110716,0.0144798286126577,0,0.0230822600703606,0.0307539278092343,0.0425780579172343,0.0557789877922891,0.0721681446664331,0.0512330808456527,0.00905499561468702,0.0466921154431631,0.00597224805110049
"GB",0.00644440929924593,0.0116620252788278,0.0230822600703606,0,0.00515007244660371,0.0108514685133176,0.034096796669588,0.0329436502948634,0.0257670295332999,0.0361902628321567,0.0154561103920634,0.032740953357595
"LS",0.00557138529017386,0.0122402203173298,0.0307539278092343,0.00515007244660371,0,0.0103288114475861,0.0312969474861943,0.0237077380999454,0.0239782378602227,0.0441159494924466,0.0119063465443063,0.0403819317374836
"MC",0.0163172077493835,0.0240821289551613,0.0425780579172343,0.0108514685133176,0.0103288114475861,0,0.0381795656203427,0.0467390619532298,0.0354148010411822,0.0570382796434057,0.0118662064955891,0.0533299300332181
"NB",0.0341430309029882,0.0385323239633887,0.0557789877922891,0.034096796669588,0.0312969474861943,0.0381795656203427,0,0.0577089449992087,-0.00323424541327787,0.0695506714467735,0.024625430997317,0.0655578536411781
"NW",0.0381683090514802,0.0439410433366915,0.0721681446664331,0.0329436502948634,0.0237077380999454,0.0467390619532298,0.0577089449992087,0,0.0669998794852116,0.0930413534904092,0.0419240433678963,0.0865489969714015
"SB",0.0262769259561723,0.0307732404003461,0.0512330808456527,0.0257670295332999,0.0239782378602227,0.0354148010411822,-0.00323424541327787,0.0669998794852116,0,0.0670787262663817,0.022214197490498,0.0632224052945632
"SH",0.0383385588511945,0.0288388921835548,0.00905499561468702,0.0361902628321567,0.0441159494924466,0.0570382796434057,0.0695506714467735,0.0930413534904092,0.0670787262663817,0,0.0609672783008489,0.00421918611486869
"VM",0.0191700568215321,0.0266694945100424,0.0466921154431631,0.0154561103920634,0.0119063465443063,0.0118662064955891,0.024625430997317,0.0419240433678963,0.022214197490498,0.0609672783008489,0,0.0574334231426951
"WH",0.0347536207269599,0.0245118097873545,0.00597224805110049,0.032740953357595,0.0403819317374836,0.0533299300332181,0.0655578536411781,0.0865489969714015,0.0632224052945632,0.00421918611486869,0.0574334231426951,0
