"","KBDC","KCLA","KJGB","KPRA","KPRB","KRRF","KSFB","KSHC","KWGA","OCNB","OIV","ORRB","RJGZ","RRRY"
"KBDC",0,0.0451400774320905,0.0489843626441121,0.0792156900752055,0.077459280711139,0.0503085768449435,0.0520229010007317,0.0736814530051345,0.0607182444826278,0.0839764326556883,0.0566052507927837,0.0634822217283364,0.0581135251908883,0.0702295407781692
"KCLA",0.0451400774320905,0,0.0592656632581666,0.0914259900962821,0.089501603308597,0.0596859856684593,0.0625544330176067,0.0848295937714221,0.0704391070107035,0.0953672671913136,0.0661151776545901,0.0757450668233426,0.0698968132904556,0.0829116177342286
"KJGB",0.0489843626441121,0.0592656632581666,0,0.0316288857178653,0.0220582439461119,0.0189433682947993,0.0176277970347199,0.0207345424806743,0.0245758060910337,0.0327458756701982,0.0244764770368747,0.0225111490408475,0.00141026250354084,0.0138933354266706
"KPRA",0.0792156900752055,0.0914259900962821,0.0316288857178653,0,0.0134013211817382,0.0384836631195248,0.0342828326506423,0.0210141059101435,0.0158730190773664,0.0343547249855123,0.04438245339895,0.0457143039703111,0.0328329040248209,0.041247613055997
"KPRB",0.077459280711139,0.089501603308597,0.0220582439461119,0.0134013211817382,0,0.0290876640463352,0.0240495108379505,0.0102488813444076,0.00336802714317547,0.0252221108153094,0.0352166596010729,0.037401660545593,0.0227844734827301,0.0306507163970381
"KRRF",0.0503085768449435,0.0596859856684593,0.0189433682947993,0.0384836631195248,0.0290876640463352,0,0.0261615344120421,0.027328155179432,0.0306597458316191,0.0396805578033129,0.0158640194240695,0.0107054180279569,0.0164851460650594,0.0012249336711743
"KSFB",0.0520229010007317,0.0625544330176067,0.0176277970347199,0.0342828326506423,0.0240495108379505,0.0261615344120421,0,0.0237272432867764,0.0284494740606592,0.0355083798946594,0.0309243103393495,0.0282109326642141,0.0141252028486314,0.0179079196516993
"KSHC",0.0736814530051345,0.0848295937714221,0.0207345424806743,0.0210141059101435,0.0102488813444076,0.027328155179432,0.0237272432867764,0,0.00748319683532266,0.0224490481770799,0.0343185769725471,0.0360350064588547,0.0212754723054574,0.028859939299053
"KWGA",0.0607182444826278,0.0704391070107035,0.0245758060910337,0.0158730190773664,0.00336802714317547,0.0306597458316191,0.0284494740606592,0.00748319683532266,0,0.0195331880983826,0.0358925149716997,0.0355355643447646,0.0230034949901559,0.0285432267334772
"OCNB",0.0839764326556883,0.0953672671913136,0.0327458756701982,0.0343547249855123,0.0252221108153094,0.0396805578033129,0.0355083798946594,0.0224490481770799,0.0195331880983826,0,0.0465952234166687,0.0492309420029397,0.0361754411594344,0.0463272578444981
"OIV",0.0566052507927837,0.0661151776545901,0.0244764770368747,0.04438245339895,0.0352166596010729,0.0158640194240695,0.0309243103393495,0.0343185769725471,0.0358925149716997,0.0465952234166687,0,0.0228081879127533,0.022509931279764,0.0166752503452627
"ORRB",0.0634822217283364,0.0757450668233426,0.0225111490408475,0.0457143039703111,0.037401660545593,0.0107054180279569,0.0282109326642141,0.0360350064588547,0.0355355643447646,0.0492309420029397,0.0228081879127533,0,0.0224785500631728,0.0118020480980691
"RJGZ",0.0581135251908883,0.0698968132904556,0.00141026250354084,0.0328329040248209,0.0227844734827301,0.0164851460650594,0.0141252028486314,0.0212754723054574,0.0230034949901559,0.0361754411594344,0.022509931279764,0.0224785500631728,0,0.0132721818234278
"RRRY",0.0702295407781692,0.0829116177342286,0.0138933354266706,0.041247613055997,0.0306507163970381,0.0012249336711743,0.0179079196516993,0.028859939299053,0.0285432267334772,0.0463272578444981,0.0166752503452627,0.0118020480980691,0.0132721818234278,0
