"","sit1","sit2","sit3","sit4","sit5","sit6","sit7","sit8","sit9","sit10","sit11","sit12","sit13","sit14","sit15","sit16","sit17","sit18","sit19","sit20","sit21","sit22","sit23","sit24","sit25","sit26","sit27","sit28","sit29","sit30"
"sit1",0,1.36673320629457,1.58256048840643,1.49570157173266,1.97764917559243,1.01888383014577,1.57887856930984,1.85698395229265,1.07038133608305,3.1722281600843,3.1988107091497,1.43198634277424,2.32270112387256,1.0575572464972,1.40883579961839,2.09272058142283,2.2961171660809,1.25313763202032,0.748939038921978,1.58161930968228,1.63501875494819,0.533625394342876,0.627659676495699,1.93913188795476,1.54047012534028,0.134903680707644,0.905566321354379,1.73152421450388,1.90485722180095,1.67172857209288
"sit2",1.36673320629457,0,0.740066475886674,1.12958929922972,1.70994245795966,2.30061564969033,1.4269567287813,0.963353361897223,0.498059646807744,1.90618734379725,1.96919064453006,2.4915096093212,1.69196287687315,0.318859413222639,0.166155612615309,2.30595644805063,1.62876422785514,1.50201277200575,1.81473591480906,1.74762174924079,1.20445981806383,0.883552462391114,0.877975680065517,0.837187364236988,0.82768621914964,1.48752778029985,1.15794885080573,0.596812689528147,0.906848006723986,1.47946495561394
"sit3",1.58256048840643,0.740066475886674,0,0.498560356869943,1.00466062211826,2.60049603079437,0.806461249293081,0.28306768047866,0.549749312234007,2.33132634820526,2.43462285231333,2.93534465439927,0.958470497264955,0.878063446105841,0.902268381672803,1.69661767064452,0.899324673477344,1.0608092419427,1.71652609531659,1.19647695638128,0.516995379600553,1.05676047120189,0.955411569372608,0.40410010382215,1.56750367808451,1.71746354854169,1.75178022162021,0.329587387324402,0.326415889857867,0.829519518366049
"sit4",1.49570157173266,1.12958929922972,0.498560356869943,0,0.599608011508929,2.49331649226386,0.311148262104523,0.588908655392995,0.73077902330307,2.82953847551534,2.93122736942168,2.92056336350422,0.827004162790773,1.14852006957639,1.29501697843501,1.20545363781862,0.802653217696264,0.610129214460362,1.4094285051105,0.699227853601989,0.139320920115186,1.04484882706769,0.91182641285203,0.84995572606222,1.92330970090541,1.62416888744448,1.91771619299937,0.827947105416008,0.716479889285411,0.350764973179652
"sit5",1.97764917559243,1.70994245795966,1.00466062211826,0.599608011508929,0,2.92178949206517,0.399369518260651,0.933318909909672,1.33034538143863,3.27522529129708,3.39311110062488,3.40770409440581,0.565240839756624,1.74790568792664,1.876092945746,0.802923302298774,0.601632795459456,0.792296088300048,1.68891624711031,0.589201200463975,0.505604567120992,1.59340367554768,1.45695549841418,1.22677635607829,2.51746105095988,2.09506402222915,2.50063157235338,1.3031092986534,1.0715633802578,0.307236767874451
"sit6",1.01888383014577,2.30061564969033,2.60049603079437,2.49331649226386,2.92178949206517,0,2.53241440402175,2.8757955293897,2.07788163541756,3.92868788050866,3.92188583868832,0.637507461620683,3.31701934821066,1.98179022010527,2.30122129756207,2.86011249442029,3.29590392582695,2.14451341578187,1.32656365308116,2.44175963235656,2.63176647854529,1.54584969849987,1.64643188012042,2.94904950550544,2.19464718624212,0.884245896076936,1.38600149673106,2.73299659490301,2.92133829707018,2.62475507084888
"sit7",1.57887856930984,1.4269567287813,0.806461249293081,0.311148262104523,0.399369518260651,2.53241440402175,0,0.852967428517741,0.994087125817881,3.13752610620124,3.24087103575573,3.00969478915707,0.833660126853892,1.41376622321704,1.59090391821383,0.894395549951314,0.837640626364607,0.445430897429361,1.33617602339044,0.409203188882021,0.317437739671994,1.20082532170172,1.06440903326717,1.13377242640436,2.20190909849691,1.69733436961192,2.12035441136647,1.13448339744932,0.989813763346491,0.093000090575396
"sit8",1.85698395229265,0.963353361897223,0.28306768047866,0.588908655392995,0.933318909909672,2.8757955293897,0.852967428517741,0,0.83271091577143,2.34195590993697,2.46028066446224,3.21808327074087,0.741112678897078,1.14295393150332,1.11542722112882,1.69737223803759,0.673057257093316,1.19774942190337,1.9383936424475,1.26196619103148,0.535536489882943,1.3354411189662,1.22936400632102,0.294351368479836,1.78455622401972,1.9917677952423,2.02586633869725,0.41038381152261,0.140541717288719,0.844724324602375
"sit9",1.07038133608305,0.498059646807744,0.549749312234007,0.73077902330307,1.33034538143863,2.07788163541756,0.994087125817881,0.83271091577143,0,2.38957772118077,2.45992491681075,2.3879899838525,1.45373477947043,0.420195415099633,0.642406944221786,1.84226310379861,1.40510505063914,1.00948482156329,1.36826354883816,1.27310891273688,0.840174226884049,0.536857553723228,0.467890159285377,0.871168586180723,1.20949750628504,1.2039307368691,1.22447044009219,0.661964574767223,0.852984545172725,1.06158438383585
"sit10",3.1722281600843,1.90618734379725,2.33132634820526,2.82953847551534,3.27522529129708,3.92868788050866,3.13752610620124,2.34195590993697,2.38957772118077,0,0.168841409451832,3.88037564048712,2.96150104514237,2.15596878957491,1.80333022471177,4.02264314776296,2.88567711920585,3.34285376285123,3.71411951777139,3.52411465472065,2.8369941678111,2.76300818451071,2.77802226273042,2.04860739269592,1.73727643637225,3.26972915610562,2.54778875704637,2.00316209893127,2.20388118597206,3.15487511815428
