"","Bulgaria","Croatia","Finland","France","Germany","Greece","Italy","Luxembourg","Poland","Portugal","Sardinia","Serbia","Slovenia","Spain","The Netherlands"
"Bulgaria",0,0.113011232939722,0.0921368555990238,0.145311721566533,0.189528920631366,0.0788730016899009,0.153924388457084,0.14506684385788,0.078201497199824,0.185994095539175,0.0275366256476458,0.081380660658532,0.100940241113145,0.144712473857077,0.142925939979253
"Croatia",0.113011232939722,0,0.107920363207725,0.147743673974751,0.185501541329888,0.11109816224468,0.156980546616977,0.145609963320768,0.0833948791519986,0.188646534778666,0.0273229196077403,0.0603452656762748,0.0584474458934131,0.156593777886101,0.144218789930778
"Finland",0.0921368555990238,0.107920363207725,0,0.11722599542823,0.153711454872741,0.0947574656285949,0.140676809564407,0.0973550101614491,0.0401592001970215,0.15195331134543,0.024823967781853,0.0696695943152997,0.0871436597020673,0.107001937110271,0.109613771682131
"France",0.145311721566533,0.147743673974751,0.11722599542823,0,0.138842360658562,0.143876974220163,0.152597689797398,0.0718181437616609,0.0959668118644691,0.143838184937097,0.0282102394348998,0.130890556484448,0.127476471878681,0.107358676200452,0.0981760595370605
"Germany",0.189528920631366,0.185501541329888,0.153711454872741,0.138842360658562,0,0.183490452588639,0.196904473736295,0.118459836688758,0.126483777868726,0.196699283041078,0.031655528550432,0.175546981463085,0.164385099721445,0.16650676650259,0.127939077142307
"Greece",0.0788730016899009,0.11109816224468,0.0947574656285949,0.143876974220163,0.183490452588639,0,0.146624650674601,0.135688391504867,0.079866594561943,0.185325097509264,0.0237379247191608,0.077077760316439,0.102090017346027,0.145564907366389,0.143775895936767
"Italy",0.153924388457084,0.156980546616977,0.140676809564407,0.152597689797398,0.196904473736295,0.146624650674601,0,0.157339292817027,0.120872197532311,0.18489477999971,0.0185961205932126,0.140702426163387,0.142495456790807,0.152651689387344,0.153803887301704
"Luxembourg",0.14506684385788,0.145609963320768,0.0973550101614491,0.0718181437616609,0.118459836688758,0.135688391504867,0.157339292817027,0,0.0843455845264298,0.146931209072758,0.0286096862700266,0.130311426409336,0.120950461602634,0.103973289612658,0.0601385817740578
"Poland",0.078201497199824,0.0833948791519986,0.0401592001970215,0.0959668118644691,0.126483777868726,0.079866594561943,0.120872197532311,0.0843455845264298,0,0.134654913648071,0.0224753204724384,0.0525414899087472,0.0619050486086978,0.0946974923357587,0.0872680709720506
"Portugal",0.185994095539175,0.188646534778666,0.15195331134543,0.143838184937097,0.196699283041078,0.185325097509264,0.18489477999971,0.146931209072758,0.134654913648071,0,0.0306491266834065,0.170841963630788,0.167750092646406,0.0428876337523781,0.153832201556644
"Sardinia",0.0275366256476458,0.0273229196077403,0.024823967781853,0.0282102394348998,0.031655528550432,0.0237379247191608,0.0185961205932126,0.0286096862700266,0.0224753204724384,0.0306491266834065,0,0.0274871332052376,0.0254030533990158,0.0256431284989764,0.0257548988099313
"Serbia",0.081380660658532,0.0603452656762748,0.0696695943152997,0.130890556484448,0.175546981463085,0.077077760316439,0.140702426163387,0.130311426409336,0.0525414899087472,0.170841963630788,0.0274871332052376,0,0.0527303880016644,0.130777559737078,0.12261682150889
"Slovenia",0.100940241113145,0.0584474458934131,0.0871436597020673,0.127476471878681,0.164385099721445,0.102090017346027,0.142495456790807,0.120950461602634,0.0619050486086978,0.167750092646406,0.0254030533990158,0.0527303880016644,0,0.133330208859638,0.123045654876657
"Spain",0.144712473857077,0.156593777886101,0.107001937110271,0.107358676200452,0.16650676650259,0.145564907366389,0.152651689387344,0.103973289612658,0.0946974923357587,0.0428876337523781,0.0256431284989764,0.130777559737078,0.133330208859638,0,0.118232040070964
"The Netherlands",0.142925939979253,0.144218789930778,0.109613771682131,0.0981760595370605,0.127939077142307,0.143775895936767,0.153803887301704,0.0601385817740578,0.0872680709720506,0.153832201556644,0.0257548988099313,0.12261682150889,0.123045654876657,0.118232040070964,0
