species,allres,landres,biores,env,geog
american_pika,0.900232841,0.89579593,0.902018173,0.326666574,0.888209803
bank_vole,0.135381684,0.258700911,0.063919431,0.122194865,0.174275347
beaver,0.027998434,0.040083815,0.038307213,0.232636511,0.148747081
black_bear,0.134892605,0.057953028,0.085484719,0.350874212,0.112593293
bobcat,0.105014894,0.051996935,0.075527464,0.042373426,0.011592151
chamois,0.185190253,0.135953241,0.169905636,0.058407091,0.598055463
coyote,0.001230488,0.009805113,0.000143066,0.111091811,0.358425806
cryptic_field_vole,0.031259516,0.174542904,0.004039621,0.460723271,0.228593254
dalls_sheep,0.025067682,0.004238079,0.054759197,0.274502752,0.104030153
european_wildcat,0.356511524,0.631588193,0.137443746,0.383763331,0.507792905
european_wolf,0.000812378,0.047240819,0.005398904,0.188974606,0.178991579
greater_glider,0.559766702,0.609608703,0.547062181,0.042308299,0.653825059
grey_long_eared_bat,0.916626739,0.923815445,0.895761586,0.059670957,0.470483663
grey_wolf,0.01178932,0.013287761,0.007663106,0.075601525,0.086578619
ground_squirrel,0.67354288,0.703759609,0.605082459,0.271542091,0.681932357
koala,0.552112231,0.487100504,0.540585742,0.143456065,0.457743742
lynx,0.057411678,0.042899476,0.055935152,0.017686728,0.045374124
marsh_rat_sciureus,0.547048737,0.555995369,0.469752932,0.802566824,0.531047181
myotis_bats,0.101951457,0.080443283,0.067176794,0.045290503,0.008324325
northern_quoll,0.421095036,0.203816288,0.4728094,0.180997055,0.447991912
pilbara_ningaui,0.388615808,0.440672673,0.245199589,4.06E-07,0.448098114
platypus,0.809733225,0.85419222,0.73314122,0.661274031,0.606137554
polar_bear,0.208644994,0.172203835,0.26434537,0.066289944,0.10345568
prairie_dogs,0.551940539,0.353025149,0.430339469,0.33282692,0.684905762
puma,0.807748558,0.86718167,0.792999936,0.034720604,0.535490781
pygmy_rabbits,0.842115914,0.838365252,0.841329176,0.509674344,0.285240883
red_fox,0.056258039,0.066005246,0.095302121,0.083371034,0.183403652
sandy_inland_mouse,0.030945131,0.032320531,0.022902072,0.003888981,0.004199449
snow_sheep,0.835443988,0.884208404,0.84062898,0.396199813,0.80206965
tasmanian_devil,0.582382787,0.649047377,0.551589426,0.170309803,0.546254626
tiger_asia,0.34933505,0.126125682,0.304371431,0.108308411,0.000195047
tiger_india,0.247997454,0.523037852,0.02117379,0.314989463,0.028105121
water_vole,0.565691567,0.207684735,0.680041989,0.438820628,0.531900953
western_pebble_mouse,0.214040227,0.233928672,0.322911149,0.055965801,0.155819741
white_footed_mouse,0.010523158,0.035054685,0.01136411,5.41E-06,0.002916333
wild_boar_europe,0.328308441,0.429097146,0.262278421,0.00305518,0.098854994
wild_boar_italy,0.262757739,0.259936308,0.283741679,0.015445557,0.123234183
wolverine,0.286896285,0.363828122,0.258850577,0.37412198,0.450729702
wombat,0.374585324,0.393773473,0.359283966,3.14E-05,0.194319023
