SPECIES,geog_dist,env_dist,biores_dist,landres_dist,allres_dist,geog_dist + env_dist,geog_dist + biores_dist,geog_dist + landres_dist,geog_dist + allres_dist,env_dist + biores_dist,env_dist + landres_dist,env_dist + allres_dist,geog_dist + env_dist + biores_dist,geog_dist + env_dist + landres_dist,geog_dist + env_dist + allres_dist
american_pika,0.885595047,0.332509991,0.900752659,0.895200928,0.895200876,0.885885099,0.901350361,0.902254985,0.897974368,0.907857383,0.903904569,0.90298973,0.907867442,0.908028407,0.903638765
bank_vole,0.214316209,0.131837296,0.150514017,0.483097558,0.102249255,0.252747966,0.280911699,0.487239081,0.257648256,0.263733992,0.48481376,0.209541743,0.325607274,0.488214448,0.294537501
beaver,0.180769703,0.218520119,0.06350163,0.057457684,0.046269602,0.248831043,0.181014485,0.19520416,0.180819671,0.229410221,0.303099765,0.254476721,0.271085414,0.305209403,0.294286474
black_bear,0.167237835,0.34064429,0.089097757,0.210653615,0.104260195,0.385633607,0.180413748,0.230068824,0.176701231,0.363928666,0.46481651,0.392086401,0.389111613,0.465297973,0.392306801
bobcat,0.015750604,0.020882035,0.052430875,0.463331625,0.07917144,0.025195139,0.191551585,0.573274285,0.383844374,0.055382872,0.614480879,0.080026983,0.21875851,0.691716448,0.415686614
chamois,0.662126742,0.057585904,0.002163338,0.87896643,0.130004757,0.723679372,0.724741804,0.884709183,0.683536017,0.091317756,0.880216485,0.297515289,0.744573728,0.888961273,0.724874847
coyote,0.324479277,0.111123066,1.57E-05,0.177362793,4.41E-05,0.324689622,0.324484366,0.327046531,0.324479572,0.115267016,0.192115254,0.114833218,0.324691386,0.327811031,0.32470706
cryptic_field_vole,0.473805554,0.458408921,0.013297699,0.744590771,3.41E-05,0.511635717,0.490746047,0.754706309,0.494270106,0.602258174,0.752261592,0.593239886,0.612768838,0.787295102,0.602793235
dalls_sheep,0.106171738,0.28141187,0.023430182,0.034726154,0.050020082,0.300082076,0.111409551,0.121524758,0.120204436,0.289712094,0.314090331,0.289458562,0.342458335,0.315416291,0.303069573
european_wildcat,0.638186714,0.374009107,0.015344104,0.647213851,0.006773314,0.640539795,0.796020806,0.657319169,0.802002492,0.425029347,0.650248451,0.436484437,0.812192553,0.658544115,0.817319762
european_wolf,0.118556558,0.18834269,0.001967765,0.010876015,0.011709538,0.214273978,0.177404327,0.120643099,0.190783972,0.190103143,0.210250676,0.194829214,0.238954388,0.219685197,0.24744125
greater_glider,0.690930261,0.033299851,0.567148096,0.637742723,0.562880681,0.772312576,0.699727658,0.733585383,0.699118845,0.58826706,0.641603315,0.582707008,0.779238707,0.792675021,0.778437034
grey_long_eared_bat,0.612475985,0.060922495,0.836784554,0.887897725,0.898702729,0.619810464,0.836794925,0.893306571,0.898975347,0.865450613,0.901321988,0.901200813,0.865797632,0.904047903,0.902266777
grey_wolf,0.161536081,0.074617168,0.081189373,0.064495591,0.103412277,0.263725842,0.281409249,0.172874678,0.295096879,0.234791622,0.131657993,0.264775501,0.507333332,0.299211073,0.520838916
koala,0.433135349,0.142417627,0.455162784,0.272732215,0.526256539,0.439098976,0.486346457,0.456042956,0.530723628,0.455562166,0.289851471,0.52793362,0.495718177,0.467033197,0.536405923
lynx,0.29030552,0.014630604,0.041996133,0.890480571,0.053596355,0.356929504,0.53763853,0.894556721,0.537440835,0.107641058,0.90312683,0.118284481,0.548886592,0.903562143,0.552244822
marsh_rat_sciureus,0.531851915,0.815205098,0.50136308,0.632612813,0.622709622,0.815222481,0.542192565,0.652808013,0.623454032,0.815212405,0.815542705,0.817744311,0.815261109,0.816374997,0.821573096
myotis_bats,0.605372837,0.141270154,0.040445517,0.721919518,0.000947485,0.665599136,0.799170521,0.72508143,0.793477934,0.217084713,0.821860475,0.509006538,0.821907433,0.821860661,0.822244974
northern_quoll,0.452692744,0.181694839,0.520088677,0.558620592,0.356862083,0.45730732,0.557744048,0.558869622,0.489677266,0.520910113,0.560468285,0.373217945,0.564961053,0.561948379,0.49750972
pilbara_ningaui,0.451434484,2.57E-05,0.205488908,0.219569441,0.386728193,0.46398469,0.453211975,0.49903007,0.451455373,0.235865399,0.22283857,0.407818651,0.463999718,0.514176143,0.464319629
platypus,0.601332391,0.662853308,0.936874048,0.997407889,0.966693003,0.738523508,0.99664042,0.997492422,0.997403089,0.946632012,0.999435331,0.968421096,0.997358639,0.999783696,0.998733601
polar_bear,0.413298609,0.090812585,0.241261829,0.061868719,0.188656564,0.418135091,0.417667064,0.5481227,0.413650368,0.241602265,0.162181956,0.189534692,0.419936865,0.55567661,0.421159921
