SPECIES,geog_dist,env_dist,biores_dist,landres_dist,allres_dist,geog_dist + env_dist,geog_dist + biores_dist,geog_dist + landres_dist,geog_dist + allres_dist,env_dist + biores_dist,env_dist + landres_dist,env_dist + allres_dist,geog_dist + env_dist + biores_dist,geog_dist + env_dist + landres_dist,geog_dist + env_dist + allres_dist
american_pika,0.885595047,0.332509991,0.900752659,0.883329628,0.895200876,0.885885099,0.901350361,0.899741469,0.897974368,0.907857383,0.889681424,0.90298973,0.907867442,0.903663924,0.903638765
bank_vole,0.214316209,0.131837296,0.150514017,0.290244879,0.102249255,0.252747966,0.280911699,0.358165529,0.257648256,0.263733992,0.331518921,0.209541743,0.325607274,0.375037283,0.294537501
beaver,0.180769703,0.218520119,0.06350163,0.039719386,0.046269602,0.248831043,0.181014485,0.183021786,0.180819671,0.229410221,0.232768489,0.254476721,0.271085414,0.261731555,0.294286474
black_bear,0.167237835,0.34064429,0.089097757,0.042517589,0.104260195,0.385633607,0.180413748,0.242987843,0.176701231,0.363928666,0.361984238,0.392086401,0.389111613,0.393006847,0.392306801
bobcat,0.015750604,0.020882035,0.052430875,6.03E-05,0.07917144,0.025195139,0.191551585,0.118951047,0.383844374,0.055382872,0.031657054,0.080026983,0.21875851,0.167747081,0.415686614
chamois,0.662126742,0.057585904,0.002163338,0.000200384,0.130004757,0.723679372,0.724741804,0.721748667,0.683536017,0.091317756,0.067335745,0.297515289,0.744573728,0.746028142,0.724874847
coyote,0.324479277,0.111123066,1.57E-05,0.079923497,4.41E-05,0.324689622,0.324484366,0.327412095,0.324479572,0.115267016,0.133951564,0.114833218,0.324691386,0.328312791,0.32470706
cryptic_field_vole,0.473805554,0.458408921,0.013297699,0.137314396,3.41E-05,0.511635717,0.490746047,0.475231111,0.494270106,0.602258174,0.495492486,0.593239886,0.612768838,0.527959268,0.602793235
dalls_sheep,0.106171738,0.28141187,0.023430182,0.027613489,0.050020082,0.300082076,0.111409551,0.119104854,0.120204436,0.289712094,0.286608988,0.289458562,0.342458335,0.301977539,0.303069573
european_wildcat,0.638186714,0.374009107,0.015344104,0.613300161,0.006773314,0.640539795,0.796020806,0.646804295,0.802002492,0.425029347,0.619604492,0.436484437,0.812192553,0.648206461,0.817319762
european_wolf,0.118556558,0.18834269,0.001967765,0.257221735,0.011709538,0.214273978,0.177404327,0.257537764,0.190783972,0.190103143,0.319709225,0.194829214,0.238954388,0.322962812,0.24744125
greater_glider,0.690930261,0.033299851,0.567148096,0.6589015,0.562880681,0.772312576,0.699727658,0.70863975,0.699118845,0.58826706,0.708992118,0.582707008,0.779238707,0.790148184,0.778437034
grey_long_eared_bat,0.612475985,0.060922495,0.836784554,0.915475488,0.898702729,0.619810464,0.836794925,0.915769864,0.898975347,0.865450613,0.91933693,0.901200813,0.865797632,0.919337133,0.902266777
grey_wolf,0.161536081,0.074617168,0.081189373,0.000563482,0.103412277,0.263725842,0.281409249,0.161586506,0.295096879,0.234791622,0.089695652,0.264775501,0.507333332,0.292994143,0.520838916
koala,0.433135349,0.142417627,0.455162784,0.501308975,0.526256539,0.439098976,0.486346457,0.502981886,0.530723628,0.455562166,0.504333681,0.52793362,0.495718177,0.508551593,0.536405923
lynx,0.29030552,0.014630604,0.041996133,0.011674983,0.053596355,0.356929504,0.53763853,0.502173817,0.537440835,0.107641058,0.061756587,0.118284481,0.548886592,0.51035388,0.552244822
marsh_rat_sciureus,0.531851915,0.815205098,0.50136308,0.58676203,0.622709622,0.815222481,0.542192565,0.615524122,0.623454032,0.815212405,0.816892235,0.817744311,0.815261109,0.817230009,0.821573096
myotis_bats,0.605372837,0.141270154,0.040445517,0.092079003,0.000947485,0.665599136,0.799170521,0.770423018,0.793477934,0.217084713,0.162348723,0.509006538,0.821907433,0.822536236,0.822244974
northern_quoll,0.452692744,0.181694839,0.520088677,0.355691198,0.356862083,0.45730732,0.557744048,0.467895323,0.489677266,0.520910113,0.365489076,0.373217945,0.564961053,0.47401914,0.49750972
pilbara_ningaui,0.451434484,2.57E-05,0.205488908,0.255888171,0.386728193,0.46398469,0.453211975,0.49637463,0.451455373,0.235865399,0.260676054,0.407818651,0.463999718,0.510581896,0.464319629
platypus,0.601332391,0.662853308,0.936874048,0.950272557,0.966693003,0.738523508,0.99664042,0.996345709,0.997403089,0.946632012,0.956312047,0.968421096,0.997358639,0.997028998,0.998733601
polar_bear,0.413298609,0.090812585,0.241261829,0.178424968,0.188656564,0.418135091,0.417667064,0.424498112,0.413650368,0.241602265,0.179083108,0.189534692,0.419936865,0.425093268,0.421159921
prairie_dogs,0.64665385,0.31710769,0.64802302,0.218881103,0.644107312,0.661588963,0.653192148,0.721524148,0.653353589,0.65063773,0.361713157,0.655231138,0.661828674,0.744534966,0.665150062
puma,0.521930677,0.034050405,0.657604973,0.784685452,0.704331774,0.545685812,0.663680243,0.789950262,0.755291893,0.683461058,0.807373003,0.722623464,0.685680657,0.821527302,0.759633117
pygmy_rabbits,0.376385215,0.511463938,0.828480392,0.78818036,0.819699547,0.614227813,0.868408613,0.805258595,0.849543403,0.829670686,0.797683404,0.821169731,0.870765362,0.812942993,0.85029558
red_fox,0.16654921,0.083943538,0.051940787,0.08583598,0.052967576,0.167961625,0.167555233,0.179991541,0.168009829,0.107361843,0.129152629,0.107391258,0.169095777,0.181202687,0.169508781
sandy_inland_mouse,0.004551112,0.003802951,0.005443107,0.021288249,0.003512869,0.006538463,0.005759623,0.062701993,0.004783571,0.006667543,0.02517488,0.005674421,0.007036882,0.062813282,0.006627629
snow_sheep,0.804695336,0.38699663,0.78376633,0.927509054,0.852098595,0.844922807,0.881581778,0.928219202,0.885182681,0.877473825,0.962090514,0.937266806,0.925778781,0.962136197,0.943516446
tasmanian_devil,0.409249863,0.182438556,0.417189627,0.380873133,0.51554834,0.482527177,0.511329091,0.45514898,0.558114097,0.561178858,0.539431814,0.630867828,0.606151335,0.561500469,0.647514536
tiger_asia,0.003967065,0.123075491,0.140940389,0.123338341,0.240018568,0.515842732,0.363172005,0.819457557,0.605687404,0.470066418,0.69230171,0.588094042,0.516217825,0.821547661,0.606001666
tiger_india,0.023229509,0.273181887,0.002433552,0.115449944,0.002097323,0.581635903,0.08803444,0.943793812,0.082978029,0.70099156,0.374977533,0.692908955,0.706162819,0.954014395,0.703329409
water_vole,0.555830959,0.402430133,0.664747224,0.205896452,0.520945643,0.692469052,0.665081716,0.57061127,0.571657351,0.830731704,0.707376049,0.797877002,0.842801829,0.723334621,0.805860942
western_pebble_mouse,0.153112149,0.06555245,0.379112523,0.230652475,0.369757054,0.193834856,0.424031507,0.315981393,0.453388184,0.379121252,0.253737351,0.370263782,0.433270929,0.320513692,0.466474441
white_footed_mouse,0.005095417,9.86E-06,0.01762494,0.011796792,0.008857156,0.011899439,0.018586198,0.013738347,0.008864251,0.024540868,0.018851341,0.01276389,0.025199906,0.018859395,0.015343584
wild_boar_europe,0.088388056,0.001187044,0.444613776,0.401488927,0.465375615,0.135814096,0.565005266,0.481982919,0.581326683,0.47332269,0.411867745,0.493308872,0.565127035,0.485235004,0.581440316
wild_boar_italy,0.110805949,0.013096625,0.242880932,0.267887542,0.277821358,0.127194935,0.421021681,0.52502503,0.518537458,0.293981614,0.326620927,0.33544626,0.433674503,0.535013119,0.526093872
wolverine,0.490760558,0.404878225,0.270250738,0.51833157,0.267259901,0.66971818,0.618236232,0.625524788,0.65981906,0.654918824,0.700601178,0.640691858,0.669954378,0.960026367,0.680723378
wombat,0.219721489,0.000437177,0.375660727,0.390347697,0.376570992,0.219762095,0.407724507,0.418036644,0.4137339,0.381548441,0.399414954,0.384731213,0.4107703,0.423275733,0.418052148
